"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","706
002","40","3.475","10.0","77.5","10.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Leading and Working in Teams","Course Total","79","3.468","13.9","69.6","12.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","45","3.978","95.6","4.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
030","53","3.481","32.1","35.8","28.3","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","723
031","35","3.757","54.3","42.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","88","3.591","40.9","38.6","18.2","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
001","41","3.841","68.3","31.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","734
001","42","3.833","88.1","4.8","2.4",".","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","765
001","17","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","765
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
003","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
031","35","3.943","88.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","70","3.966","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","114","3.951","75.4","4.4","0.9",".",".",".",".",".",".",".",".","19.3",".",".",".","."
"Seminar-Arts Administration","773
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Business Strategy","973
001","8","3.786","62.5","12.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","990
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
123","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
133","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","9","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
