"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","198","3.358","31.3","23.7","32.3","9.1","3.0",".",".",".",".",".",".",".","0.5",".",".","."
"","312
001","42","3.405","33.3","28.6","26.2","9.5","2.4",".",".",".",".",".",".",".",".",".",".","."
"","312
002","41","3.537","43.9","36.6","9.8","2.4","7.3",".",".",".",".",".",".",".",".",".",".","."
"","312
003","29","3.293","34.5","37.9","10.3",".","13.8",".","3.4",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","112","3.424","37.5","33.9","16.1","4.5","7.1",".","0.9",".",".",".",".",".",".",".",".","."
"","365
001","65","3.446","33.8","30.8","30.8",".","4.6",".",".",".",".",".",".",".",".",".",".","."
"","365
005","60","3.433","31.7","31.7","28.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","6","3.083","50.0","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","131","3.395","33.6","30.5","29.0","3.8","2.3",".","0.8",".",".",".",".",".",".",".",".","."
"","410
001","52","3.500","34.6","32.7","30.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","410
002","50","3.030","28.0","16.0","16.0","26.0","10.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","102","3.270","31.4","24.5","23.5","13.7","4.9","1.0","1.0",".",".",".",".",".",".",".",".","."
"","415
001","51","3.324","31.4","11.8","49.0","5.9","2.0",".",".",".",".",".",".",".",".",".",".","."
"","415
002","39","3.303","28.2","20.5","33.3","12.8","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Valuation of Real Estate","Course Total","90","3.315","30.0","15.6","42.2","8.9","2.2",".",".",".",".",".",".",".","1.1",".",".","."
"","420
001","49","3.408","32.7","26.5","30.6","10.2",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","41","3.366","26.8","31.7","29.3","12.2",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","90","3.389","30.0","28.9","30.0","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"RE Investment Analysis","661
001","28","3.304","35.7","39.3",".","14.3","3.6","7.1",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","19","3.737","47.4","52.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","27","3.741","74.1",".","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","27","3.537","33.3","40.7","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","26","3.538","42.3","23.1","34.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","3","***","","","","","","","","","","","","","","","",""
"Rdg & Rsch-Urban Land Econ","799
028","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Readng&Rsch-Real Estate PhD","999
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
