"","991
002","3","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","991
007","4","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","991
013","3","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","10","",".",".",".",".",".","",".","",".","30.0",".",".","",".","60.0","10.0",".",".","."
"SLAVIC
888","Dept. Total","274","3.580","51.5","19.3","11.7","4.7","2.6","",".","",".","6.2","0.4",".","",".","2.2","1.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","31","3.468","45.2","29.0","12.9","12.9",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","61","3.531","47.5","26.2","16.4","3.3","4.9","",".","",".",".",".",".","",".",".","1.6",".",".","."
"Junior","","41","3.576","56.1","22.0","12.2","2.4","7.3","",".","",".",".",".",".","",".",".",".",".",".","."
"Senior","","67","3.537","50.7","19.4","17.9","9.0","1.5","",".","",".","1.5",".",".","",".",".",".",".",".","."
"Undergraduates","","200","3.532","50.0","23.5","15.5","6.5","3.5","",".","",".","0.5",".",".","",".",".","0.5",".",".","."
"Special","","10","3.778","20.0","10.0",".",".",".","",".","",".","70.0",".",".","",".",".",".",".",".","."
"Graduate","","64","3.879","60.9","7.8","1.6",".",".","",".","",".","14.1","1.6",".","",".","9.4","4.7",".",".","."
"","Dept. Total","274","3.580","51.5","19.3","11.7","4.7","2.6","",".","",".","6.2","0.4",".","",".","2.2","1.5",".",".","."
