"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","53","4.000","98.1",".",".",".",".",".",".",".",".",".",".",".",".",".","1.9","."
"701
Professional Responsibility","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Chemical Biology","001","","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"729","001","","20","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"729","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"729","006","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","008","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","009","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics","Course Total","","77","3.923","75.3","3.9","1.3",".",".",".",".","19.5",".",".",".",".",".",".",".","."
"800
Prac Nuc Mag Resonance Thry","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"872
Topic-Macromoleculr/Biophys","001","","9","3.900","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Smr-Nutr&Metabolism (Adv)","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Smr-Molecular Virolgy (Adv)","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"912
Smr-Molec Mech of Develpmnt","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915
Computn&Informatcs in Biol&Med","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"917
Reg Gene Expression Adv Sem","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"918
Sngl Molec Apprchs to Biology","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
