"TERM : 1192","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2018-2019","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","",""
"ED LEADERSHP & POLICY ANAL Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"ELPA
Dept. Total
305","636","3.923","77.2","5.3","2.2","0.3","0.3","",".","0.2","9.6","",".",".","",".","2.2","2.0","0.5",".","0.2"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Junior","9","3.875","77.8",".","11.1",".",".","",".",".",".","",".",".","",".",".",".",".",".","11.1"
"Senior","12","3.792","75.0","16.7",".","8.3",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","21","3.825","76.2","9.5","4.8","4.8",".","",".",".",".","",".",".","",".",".",".",".",".","4.8"
"Special","33","3.947","78.8","9.1",".",".",".","",".",".",".","",".",".","",".",".","12.1",".",".","."
"Graduate","580","3.927","76.6","5.0","2.1","0.2","0.3","",".","0.2","10.5","",".","0.7","",".","2.4","1.6","0.5",".","."
"Prof Yr 2","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","4","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","6","3.813","83.3",".","16.7",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Dept. Total","640","3.923","76.7","5.3","2.2","0.3","0.3","",".","0.2","9.5","",".","0.6","",".","2.2","2.0","0.5",".","0.2"
