"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","3700","3.264","40.0","17.5","20.8","7.4","9.1","2.1","1.0","1.2","",".",".","",".","0.6","0.1","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","49","3.476","42.9","26.5","22.4","6.1",".","2.0",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","621","3.099","29.1","15.9","27.7","11.3","11.1","3.5","1.0",".","",".",".","",".",".","0.2",".",".","0.2"
"Junior","","1077","3.097","32.5","14.9","24.7","10.2","13.3","3.0","1.2","0.1","",".",".","",".",".","0.1",".",".","0.1"
"Senior","","883","3.183","35.9","18.3","21.6","7.6","11.4","2.0","1.8","0.5","",".",".","",".","0.5",".","0.1",".","0.2"
"Undergraduates","","2630","3.133","33.0","16.5","24.3","9.5","11.9","2.8","1.3","0.2","",".",".","",".","0.2","0.1","0.0",".","0.2"
"Special","","425","3.675","71.3","15.8","8.9","1.2","2.1","0.2",".","0.5","",".",".","",".",".",".",".",".","."
"Graduate","","640","3.573","47.3","23.0","14.4","3.1","2.0","0.6","0.2","5.9","",".",".","",".","2.8",".","0.6",".","."
"Prof Yr 2","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3700","3.264","40.0","17.5","20.8","7.4","9.1","2.1","1.0","1.2","",".",".","",".","0.6","0.1","0.1",".","0.1"
