"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","245","3.583","62.4","13.9","13.5","2.4","3.3","2.4","0.8","0.4",".",".",".",".",".",".","0.8","."
"363
Develp: Adolescence-Old Age","001","","244","3.673","63.9","20.1","9.0","2.5","2.9","0.8","0.4","0.4",".",".",".",".",".",".",".","."
"425","001","","43","3.872","79.1","18.6",".","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"425","002","","37","3.662","45.9","43.2","8.1","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","Course Total","","80","3.775","63.8","30.0","3.8","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","38","3.553","52.6","23.7","10.5","7.9","5.3",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","41","3.744","70.7","14.6","9.8","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"474","001","","45","3.722","73.3","11.1","6.7","4.4","4.4",".",".",".",".",".",".",".",".",".",".","."
"474","002","","39","3.667","56.4","25.6","15.4",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","Course Total","","84","3.696","65.5","17.9","10.7","2.4","3.6",".",".",".",".",".",".",".",".",".",".","."
"501","002","","38","3.921","94.7",".","2.6",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"501","003","","104","3.913","88.5","8.7",".","1.0",".","1.0",".",".",".",".",".",".","1.0",".",".","."
"Special Topics","Course Total","","142","3.917","90.1","6.3","0.7","0.7","0.7","0.7",".",".",".",".",".",".","0.7",".",".","."
"517
Couple Relationships","001","","39","3.628","59.0","25.6","5.1","2.6","7.7",".",".",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","33","3.439","42.4","30.3","18.2","3.0","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"592","001","","22","3.938","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"592","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience in HDFS","Course Total","","23","3.939","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Internship","001","","31","4.000","96.8",".",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"616
Mass Media and Youth","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"650
Parent Educ & Support Programs","001","","36","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"663
Developmental & Fam Assessment","001","","37","3.917","89.2","5.4",".",".","2.7",".",".",".",".",".",".",".","2.7",".",".","."
"680
Senior Honors Thesis","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"766
Current Topics in HDFS","001","","11","3.556","27.3","36.4","18.2",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"865
Family Theory I (Survey)","001","","19","3.781","52.6","26.3","5.3",".",".",".",".",".",".",".",".",".","15.8",".",".","."
"872
Bridging Gap: Rsch & Action","001","","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
