"CHEMICAL & BIOLOGICAL ENG","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chemical Engineering","150","001","","98","3.852","79.6","11.2","9.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","002","","65","2.885","20.0","23.1","18.5","15.4","10.8","12.3",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","32","2.969","25.0","15.6","34.4","3.1","12.5","6.3","3.1",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","39","2.910","12.8","23.1","20.5","30.8","7.7","5.1",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","55","2.945","25.5","10.9","21.8","10.9","30.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","72","3.146","33.3","6.9","36.1","8.3","12.5","2.8",".",".",".",".",".",".",".",".",".","."
"","324","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","16","3.531","37.5","37.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","13","3.462","38.5","30.8","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","13","3.500","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","52","3.519","38.5","34.6","21.2","3.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","47","2.862","14.9","14.9","27.7","17.0","23.4","2.1",".",".",".",".",".",".",".",".",".","."
"Eng Prin Mol, Cells, Tissues","330","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","64","3.008","20.3","21.9","15.6","23.4","18.8",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","72","3.306","37.5","11.1","40.3","2.8","5.6","2.8",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","35","3.243","14.3","25.7","54.3","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","38","3.013","31.6","10.5","15.8","23.7","13.2","5.3",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","56","3.527","35.7","44.6","8.9","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"","489","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Intro to Tissue Engineering","510","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Biology in Engineering Seminar","517","001","","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"Polymer Sci & Technology","540","001","","34","3.265","32.4","20.6","17.6","26.5","2.9",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","26","3.635","50.0","26.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","010","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","011","","11","3.661","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","29","3.816","82.8","10.3","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567","001","","14","3.250","35.7","28.6","21.4","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","599","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","","Page 117 of 438",""
