"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Signals, Information & Comp","203
001","126","3.409","44.4","27.8","11.9","4.8","7.9","2.4","0.8",".",".",".",".",".",".",".",".","."
"","210
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","162","3.978","96.3","3.1","0.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","115","3.665","71.3","12.2","9.6","2.6","0.9","1.7","1.7",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","83","3.090","18.1","19.3","34.9","20.5","6.0","1.2",".",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","108","3.088","27.8","25.0","16.7","16.7","7.4","3.7","2.8",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","65","3.192","26.2","15.4","43.1","1.5","13.8",".",".",".",".",".",".",".",".",".",".","."
"","252
001","126","3.472","54.8","13.5","17.5","6.3","4.8","3.2",".",".",".",".",".",".",".",".",".","."
"","252
002","14","3.429","42.9","28.6","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","252
005","22","2.841","22.7","9.1","13.6","31.8","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","162","3.383","49.4","14.2","16.0","10.5","6.8","3.1",".",".",".",".",".",".",".",".",".","."
"","270
001","40","3.263","27.5","30.0","20.0","12.5","10.0",".",".",".",".",".",".",".",".",".",".","."
"","270
002","62","3.234","25.8","27.4","30.6","9.7","3.2","1.6","1.6",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","102","3.245","26.5","28.4","26.5","10.8","5.9","1.0","1.0",".",".",".",".",".",".",".",".","."
"","271
001","36","3.556","38.9","44.4","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","271
002","25","3.600","36.0","48.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","61","3.574","37.7","45.9","13.1",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","303
001","18","3.583","50.0","27.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","303
002","18","3.861","88.9",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","Course Total","36","3.722","69.4","13.9","11.1","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","305
001","10","3.350","30.0","20.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","31","3.694","77.4","3.2","6.5","6.5","6.5",".",".",".",".",".",".",".",".",".",".","."
"","315
002","28","3.536","71.4","7.1","7.1","7.1",".","3.6","3.6",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","59","3.619","74.6","5.1","6.8","6.8","3.4","1.7","1.7",".",".",".",".",".",".",".",".","."
"","317
001","16","3.750","68.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
002","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
003","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","Course Total","48","3.854","77.1","16.7","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","26","3.808","80.8","3.8","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","79","3.519","49.4","20.3","17.7","5.1","3.8","1.3",".","2.5",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","48","3.594","31.3","56.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","36","3.529","22.2","66.7","2.8","2.8","2.8",".",".",".",".",".",".",".",".","2.8",".","."
