"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"ACT SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","57","3.341","59.6","10.5","19.3","5.3","3.5",".","1.8","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","110","3.248","50.9","13.6","20.0","5.5","7.3","1.8","0.9","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","170","3.157","31.2","24.7","22.9","10.0","5.3","2.9","2.9","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","339","3.212","42.8","18.6","21.2","7.7","5.6","2.1","2.1","",".","",".",".","",".","",".","",".",".",".","."
"Special","","25","3.300","44.0","8.0","20.0","28.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","365","3.219","42.7","18.1","21.1","9.0","5.2","1.9","1.9","",".","",".",".","",".","",".","",".",".",".","."
