"","699
013","","7","4.000","100.0",".","","",".",".","","",".","",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","699
015","","2","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Neurosurg-Directed Study","Course Total","","42","3.920","95.2","",".","",".","",".","",".","",".","2.4","",".","",".",".","",".","",".","",".",".","2.4","."
"Individualized 4th Yr Clerk","919
002","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"NEURSURG
678","Dept. Total","","43","3.922","95.3","",".","",".","",".","",".","",".","2.3","",".","",".",".","",".","",".","",".",".","2.3","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678
NEURSURG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","6","3.385","66.7","",".","",".","",".","",".","",".","16.7","",".","",".",".","",".","",".","",".",".","16.7","."
"Junior","","","16","4.000","100.0","",".","",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","20","4.000","100.0","",".","",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","42","3.920","95.2","",".","",".","",".","",".","",".","2.4","",".","",".",".","",".","",".","",".",".","2.4","."
"Prof Yr 4","","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","43","3.922","95.3","",".","",".","",".","",".","",".","2.3","",".","",".",".","",".","",".","",".",".","2.3","."
