"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","340
002","35","3.286","11.4","37.1","48.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","340
003","38","3.500","31.6","42.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","340
004","38","3.342","21.1","31.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","146","3.339","20.5","34.9","36.3","8.2",".",".",".",".",".",".",".",".",".",".",".","."
"","406
001","14","3.536","42.9","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","406
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","18","3.389","33.3","27.8","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","35","3.643","51.4","25.7","22.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","35","3.686","60.0","17.1","22.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
003","38","3.605","39.5","42.1","18.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","108","3.644","50.0","28.7","21.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","26","3.200","26.9","23.1","19.2","15.4","11.5",".",".","3.8",".",".",".",".",".",".",".","."
"","620
002","31","3.419","35.5","29.0","22.6","9.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","57","3.321","31.6","26.3","21.1","12.3","7.0",".",".","1.8",".",".",".",".",".",".",".","."
"","621
001","20","3.425","35.0","25.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","30","3.259","23.3","23.3","36.7","6.7","6.7",".",".",".",".",".",".",".","3.3",".",".","."
"Corporate & Advanced Taxation","Course Total","50","3.327","28.0","24.0","34.0","8.0","4.0",".",".",".",".",".",".",".","2.0",".",".","."
"","630
001","30","3.467","33.3","30.0","33.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","31","3.355","19.4","35.5","41.9","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","630
003","29","3.190","6.9","41.4","37.9","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","90","3.339","20.0","35.6","37.8","5.6","1.1",".",".",".",".",".",".",".",".",".",".","."
"","700
030","43","3.709","48.8","44.2","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
031","52","3.750","51.9","46.2","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","95","3.732","50.5","45.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","702
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
001","14","3.321","35.7","7.1","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","25","3.440","40.0","16.0","36.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","33","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","37","3.878","75.7","24.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","70","3.914","82.9","17.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation of Pass-Thru Entities","722
001","24","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","18","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","765
003","40","3.613","30.0","62.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","39","3.487","23.1","51.3","25.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","97","3.551","21.6","46.4","13.4",".",".",".",".",".",".",".",".","18.6",".",".",".","."
"","770
001","28","3.750","53.6","42.9","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
002","28","3.875","78.6","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","56","3.813","66.1","30.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
