"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"Junior","4","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","9","2.980","22.2",".","55.6","11.1","11.1",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","13","2.941","23.1",".","38.5","15.4","15.4",".","",".","7.7","",".",".","",".","",".",".",".",".","."
"Special","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","22","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","117","3.948","76.1","3.4","2.6",".",".",".","",".","17.1","",".",".","",".","",".","0.9",".",".","."
"Prof Yr 2","5","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","337","3.411","22.3","11.0","13.9","2.1","0.6","0.3","",".","49.9","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","279","4.000","31.5",".",".",".",".",".","",".","67.7","",".",".","",".","",".",".",".","0.7","."
"Professionals","738","3.605","34.4","5.6","6.9","0.9","0.3","0.1","",".","51.4","",".",".","",".","",".","0.1",".","0.3","."
