"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"LCA","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","9","3.885","77.8",".","11.1",".",".","",".",".",".","",".",".","",".",".",".",".",".","11.1"
"Junior","","20","3.529","75.0","5.0","10.0",".","5.0","",".","5.0",".","",".",".","",".",".",".",".",".","."
"Senior","","31","3.740","67.7","19.4","6.5","6.5",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","64","3.696","71.9","12.5","7.8","3.1","1.6","",".","1.6",".","",".",".","",".",".",".",".",".","1.6"
"Special","","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","20","4.000","40.0",".",".",".",".","",".",".","40.0","",".",".","",".","5.0","15.0",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
