"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","7","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","22","3.974","90.9",".","4.5","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","4.5","."
"Undergraduates","","30","3.984","93.3",".","3.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","3.3","."
"Special","","3","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","58","3.991","94.8","1.7",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","3.4","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","20","3.970","95.0","5.0",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","21","3.943","90.5","9.5",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
