"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","101","3.995","99.0","1.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125","001","25","3.820","68.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125","002","220","3.160","24.5","26.4","24.1","12.7","9.1","1.8","0.9",".",".",".",".",".","0.5",".",".","."
"Amer Soc: How It Really Works","","Course Total","245","3.212","29.0","26.5","22.0","11.4","8.2","1.6","0.8",".",".",".",".",".","0.4",".",".","."
"Criminal Justice in America","131","001","74","2.875","5.4","18.9","40.5","16.2","13.5","2.7",".",".",".",".",".",".",".",".","2.7","."
"","134","001","94","3.554","50.0","29.8","8.5","3.2","6.4","1.1",".",".",".",".",".",".","1.1",".",".","."
"","134","002","92","3.335","27.2","33.7","23.9","8.7","4.3","1.1",".",".",".",".",".",".",".",".",".","1.1"
"","134","003","98","3.867","79.6","16.3","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","134","004","100","3.724","60.0","26.0","9.0","2.0","1.0",".",".","1.0",".",".",".",".","1.0",".",".","."
"Am Racial&Ethnic Minorities","","Course Total","384","3.626","54.7","26.3","10.7","3.9","2.9","0.5",".","0.3",".",".",".",".","0.5",".",".","0.3"
"The Sociology of Gender","138","002","95","3.463","44.2","24.2","20.0","5.3","5.3","1.1",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","66","3.685","53.0","34.8","6.1","3.0","1.5",".",".",".",".",".",".",".","1.5",".",".","."
"Population Problems","170","001","398","3.371","27.6","36.4","20.1","12.6","2.3","0.3",".",".",".",".",".",".",".",".","0.8","."
"Directed Study","199","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","001","40","3.263","30.0","42.5","12.5","5.0","2.5","2.5","5.0",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","83","3.367","34.9","32.5","16.9","9.6","3.6","1.2","1.2",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211","001","77","3.250","35.1","15.6","20.8","18.2","9.1",".",".","1.3",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","56","3.713","57.1","30.4","1.8","7.1",".",".",".",".",".",".",".",".",".",".",".","3.6"
"Bascom Course","236","001","18","3.472","27.8","50.0","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","11","3.273",".","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","320","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","071","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","109","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","171","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","209","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","235","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Survey Methods Soc Res","351","001","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","62","3.298","19.4","38.7","29.0","8.1","4.8",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","41","3.305","31.7","31.7","19.5","9.8","4.9",".","2.4",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","21","3.500","47.6","19.0","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Mathematical Sociology","375","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Issues in Aging","422","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Crime, Gender and Justice","425","001","11","3.091","27.3","54.5",".",".",".","9.1","9.1",".",".",".",".",".",".",".",".","."
"Criminology","441","001","95","3.684","58.9","32.6","3.2","3.2",".","1.1","1.1",".",".",".",".",".",".",".",".","."
"","456","001","6","3.167","50.0",".","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","456","002","17","3.235","23.5","23.5","41.2",".","11.8",".",".",".",".",".",".",".",".",".",".","."
