"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","42","3.202","14.3","33.3","33.3","16.7","2.4",".",".",".",".",".",".",".",".",".",".","."
"","300
002","41","2.988","17.1","14.6","36.6","17.1","12.2","2.4",".",".",".",".",".",".",".",".",".","."
"","300
003","41","3.159","17.1","26.8","31.7","19.5","4.9",".",".",".",".",".",".",".",".",".",".","."
"","300
004","41","3.122","19.5","24.4","31.7","19.5",".","4.9",".",".",".",".",".",".",".",".",".","."
"","300
005","40","3.263","12.5","45.0","30.0","7.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"","300
006","42","3.119","7.1","35.7","40.5","11.9","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","300
007","39","3.231","10.3","38.5","38.5","12.8",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","39","3.141","17.9","30.8","28.2","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","300
009","43","3.256","14.0","37.2","37.2","9.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","300
010","41","3.390","26.8","36.6","24.4","12.2",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","41","3.390","22.0","41.5","29.3","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","42","3.238","16.7","33.3","33.3","14.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","492","3.208","16.3","33.1","32.9","13.0","3.9","0.8",".",".",".",".",".",".",".",".",".","."
"","305
001","75","3.613","57.3","16.0","18.7","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","79","3.703","64.6","24.1","3.8","2.5","5.1",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","154","3.659","61.0","20.1","11.0","5.2","2.6",".",".",".",".",".",".",".",".",".",".","."
"Nw Vntrs in Bus,Arts&Soc Entrp","320
001","38","3.816","71.1","21.1","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","190","3.291","30.0","19.5","35.3","8.9","5.3","0.5",".",".",".",".",".",".",".",".","0.5","."
"","365
001","36","3.431","63.9","11.1","8.3","2.8","5.6","5.6","2.8",".",".",".",".",".",".",".",".","."
"","365
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
004","9","3.444","22.2","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","13","3.462","38.5","30.8","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","59","3.381","50.8","22.0","10.2","6.8","3.4","3.4","3.4",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","399
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Management of Teams","401
001","29","3.448","20.7","58.6","10.3","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"","403
001","22","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","403
002","20","3.500","40.0","25.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","42","3.571","38.1","40.5","19.0","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","31","3.048","16.1","22.6","35.5","12.9","9.7","3.2",".",".",".",".",".",".",".",".",".","."
"","422
002","38","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","69","3.558","59.4","13.0","15.9","5.8","4.3","1.4",".",".",".",".",".",".",".",".",".","."
"Strategic Management","423
001","44","3.557","25.0","61.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","12","3.208","33.3","25.0","16.7",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","40","3.963","92.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","36","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","17","3.529","41.2","35.3","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","628
001","24","3.500","29.2","41.7","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
030","53","3.849","71.7","26.4","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","77","3.740","58.4","31.2","10.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","700
031","52","3.798","71.2","17.3","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","704
030","43","3.628","51.2","27.9","16.3","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
001","39","3.462","17.9","61.5","15.4","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 59 of 438"
