"EGR","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENGINEERING PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Engr Problem Solving I","271
001","50","3.410","34.0","26.0","32.0","4.0","4.0","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Intro to Engineering Research","468
001","6","4.000","100.0",".",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Engineering Analysis I","547
001","28","3.357","28.6","28.6","32.1","7.1","3.6","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Research Pract-Engr Physics I","568
001","7","3.929","85.7","14.3",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Research Pract-Engr Physics II","569
001","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","602
002","13","3.846","69.2","30.8",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","602
003","6","3.583","50.0","33.3",".","16.7",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","602
004","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Special Topics in EP","Course Total","24","3.750","58.3","37.5",".","4.2",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"EP Graduate Seminar","920
001","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"E P
347","Dept. Total","118","3.485","44.9","26.3","21.2","4.2","2.5","",".","",".","",".","",".","0.8","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","12","3.438","41.7","25.0","25.0","8.3",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","33","3.477","45.5","24.2","24.2","3.0","3.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","40","3.591","55.0","30.0","10.0",".","5.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","85","3.519","49.4","27.1","17.6","2.4","3.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","32","3.414","34.4","25.0","28.1","9.4",".","",".","",".","",".","",".","3.1","",".","",".","",".",".",".","."
"","Dept. Total","118","3.485","44.9","26.3","21.2","4.2","2.5","",".","",".","",".","",".","0.8","",".","",".","",".",".",".","."
