"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"BSE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","40","2.665","22.5","5.0","30.0","12.5","17.5","7.5","5.0",".","",".",".","",".",".",".",".",".","."
"Junior","","80","2.906","18.8","20.0","32.5","7.5","11.3","6.3","2.5",".","",".",".","",".",".",".",".",".","1.3"
"Senior","","290","3.181","19.3","23.8","26.9","11.0","6.2","1.0","0.3",".","",".","2.1","",".",".","9.3",".",".","."
"Undergraduates","","411","3.062","19.5","21.2","28.2","10.5","8.3","2.9","1.2",".","",".","1.5","",".",".","6.6",".",".","0.2"
"Special","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","45","3.727","28.9",".","2.2",".","2.2",".",".","6.7","",".",".","",".","60.0",".",".",".","."
"","Dept. Total","458","3.087","20.7","19.0","25.5","9.4","7.6","2.6","1.1","0.7","",".","1.3","",".","5.9","5.9",".",".","0.2"
