"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"PORTUG","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","***","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","10","2.850","30.0","10.0","10.0",".","50.0",".",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","9","3.063","33.3","11.1","11.1",".","33.3",".",".",".",".",".","",".","",".","",".","11.1",".","."
"Senior","","20","3.500","65.0","20.0","5.0",".","5.0",".","5.0",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","43","3.128","46.5","14.0","7.0","2.3","23.3","2.3","2.3",".",".",".","",".","",".","",".","2.3",".","."
"Special","","2","***","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","16","3.921","62.5","12.5",".",".",".",".",".","18.8","6.3",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".","",".","",".","",".",".",".","."
