"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","137","3.274","32.1","24.1","22.6","11.7","8.0","1.5",".",".",".",".",".",".",".",".",".","."
"","300
002","130","3.319","28.5","29.2","29.2","8.5","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"","300
003","135","3.293","27.4","31.9","24.4","7.4","7.4","1.5",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","402","3.295","29.4","28.4","25.4","9.2","6.0","1.7",".",".",".",".",".",".",".",".",".","."
"Principles & Tech-Qual Mgmt","351
001","44","3.886","79.5","18.2","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
002","22","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","10","3.700","70.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","421
002","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","23","3.804","73.9","21.7",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","422
001","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","20","3.475","35.0","25.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Database Mngmnt & Applications","442
001","15","3.643","46.7","33.3","6.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","722
001","21","3.690","47.6","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
002","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","32","3.750","59.4","31.3","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","732
031","52","3.654","57.7","15.4","26.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","752
001","49","3.813","69.4","22.4","4.1","2.0",".",".",".","2.0",".",".",".",".",".",".",".","."
"Manage Tech & Organztnl Change","758
001","26","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
004","39","3.423","25.6","33.3","41.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","40","3.575","45.0","25.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","90","3.531","37.8","28.9","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
158","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","990
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
126","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","Course Total","2","***","","","","","","","","","","","","","","","",""
