"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Intro-Social Psychology","","Course Total","","23","3.213","30.4","17.4","34.8",".","17.4",".",".",".",".",".",".",".",".",".",".","."
"","475","002","","19","3.250","15.8","36.8","21.1","21.1",".",".",".",".",".",".",".",".","5.3",".",".","."
"","475","003","","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","475","005","","16","3.400","37.5","37.5",".","12.5",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","47","3.411","42.6","27.7","8.5","12.8",".","2.1","2.1","2.1",".",".",".",".","2.1",".",".","."
"Contemporary Soc Theory","476","001","","13","3.727","53.8","15.4","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","7.7"
"","496","001","","35","3.657","48.6","42.9",".","8.6",".",".",".",".",".",".",".",".",".",".",".","."
"","496","002","","16","4.000","43.8",".",".",".",".",".",".","56.3",".",".",".",".",".",".",".","."
"","496","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","007","","9","3.389","33.3","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","496","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","022","","35","4.000","17.1",".",".",".",".",".",".","82.9",".",".",".",".",".",".",".","."
"","496","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","040","","28","3.125","39.3","25.0","10.7","14.3",".",".","10.7",".",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","138","3.472","37.7","21.0","4.3","6.5",".",".","2.9","27.5",".",".",".",".",".",".",".","."
"Talk and Social Interaction","535","001","","8","2.688","12.5","25.0","12.5","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Poverty and Place","578","001","","9","2.944","22.2","22.2","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Community Development","617","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Political Sociology","624","001","","8","3.833","50.0","25.0",".",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","23","3.326","26.1","30.4","26.1","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Organizations","632","001","","13","3.409","30.8","30.8","7.7","7.7","7.7",".",".","7.7",".",".",".",".","7.7",".",".","."
"Social Stratification","633","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociology of Law","641","001","","14","3.250","21.4","35.7","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Demographic Techniques I","674","001","","16","3.800","68.8","12.5","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","682","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Crimnl Justice Fld Observtn","694","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Intro Prosmr-Grad Students","700","001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Research Methods-Sociology","750","001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Methods-Social Rsch","751","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Research Methods-Sociol","754","001","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Introduction to Epidemiology","797","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","","Page 329 of 438",""
