"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Microelectronic Devices","335
001","21","3.214","33.3","14.3","19.0","28.6","4.8",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","64","3.320","39.1","21.9","17.2","14.1","6.3",".","1.6",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","72","3.340","47.2","11.1","20.8","4.2","16.7",".",".",".",".",".",".",".",".",".",".","."
"","352
001","84","3.268","25.0","33.3","23.8","10.7","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"","352
002","24","3.083","8.3","41.7","20.8","16.7","12.5",".",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","108","3.227","21.3","35.2","23.1","12.0","6.5","1.9",".",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","69","3.213","18.8","34.8","26.1","10.1","7.2","1.4",".","1.4",".",".",".",".",".",".",".","."
"","354
001","36","3.208","36.1","13.9","27.8","11.1","8.3",".","2.8",".",".",".",".",".",".",".",".","."
"","354
002","27","3.278","48.1","18.5","3.7","7.4","18.5","3.7",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","63","3.238","41.3","15.9","17.5","9.5","12.7","1.6","1.6",".",".",".",".",".",".",".",".","."
"Electromech Energy Conversn","355
003","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elect Power for Alt Energy Sys","356
001","24","3.167","20.8","20.8","37.5","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"","370
001","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","17","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
006","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","66","3.735","57.6","31.8","10.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","138","3.174","20.3","18.1","45.7","10.9","3.6","1.4",".",".",".",".",".",".",".",".",".","."
"","399
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
047","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
052","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
086","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
099","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
147","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","25","3.833","76.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001","38","3.303","21.1","39.5","23.7","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","411
003","19","3.526","42.1","31.6","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Electric Drive Sys","Course Total","57","3.377","28.1","36.8","22.8","7.0","5.3",".",".",".",".",".",".",".",".",".",".","."
"","427
001","44","3.419","43.2","25.0","13.6","6.8","6.8","2.3",".","2.3",".",".",".",".",".",".",".","."
"","427
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Electric Power Systems","Course Total","47","3.424","42.6","25.5","14.9","6.4","6.4","2.1",".","2.1",".",".",".",".",".",".",".","."
"Digital Signal Processing","431
001","35","3.771","65.7","25.7","5.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","15","3.100","33.3","20.0","20.0",".","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"Communication Systems I","436
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439
001","18","3.333","27.8","33.3","16.7","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","445
001","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","Page 125 of 438",""
