"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","338","3.047","14.2","17.2","38.2","20.4","6.8","0.6",".","2.4",".",".",".",".",".","0.3",".","."
"Politics Around the World","120","001","148","2.990","10.8","27.7","31.1","14.9","10.1","2.0","1.4","0.7",".",".",".",".",".",".","0.7","0.7"
"Intro-Internatl Relations","140","001","241","3.218","27.0","28.2","19.9","11.6","10.8","0.8","0.4","1.2",".",".",".",".",".",".",".","."
"Intro to Political Theory","160","001","186","3.538","33.9","45.7","14.0","3.2","1.1","0.5",".","1.6",".",".",".",".",".",".",".","."
"Research Methods in Poli Sci","170","001","151","3.453","44.4","27.8","12.6","7.9","5.3",".","1.3",".",".",".",".",".",".",".",".","0.7"
"Politics Around World-Honors","182","001","20","3.475","35.0","25.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wisc in Washington Prep Course","202","001","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","33","3.266","30.3","33.3","3.0","18.2","12.1",".",".",".",".",".",".",".",".",".",".","3.0"
"Intro East Asian Civilizations","255","001","26","3.385","53.8","15.4","11.5",".","15.4","3.8",".",".",".",".",".",".",".",".",".","."
"US & Ltn Am:Col Era to Present","268","001","14","3.423","50.0","21.4","7.1",".","7.1","7.1",".","7.1",".",".",".",".",".",".",".","."
"Intro to Public Policy","272","001","46","3.304","32.6","13.0","41.3","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","53","3.274","26.4","50.9","11.3","3.8",".",".","7.5",".",".",".",".",".",".",".",".","."
"Elections & Voting Behavior","305","001","112","3.332","22.3","38.4","20.5","7.1","2.7","0.9","0.9","7.1",".",".",".",".",".",".",".","."
"United States Congress","311","001","52","3.176","26.9","28.8","19.2","9.6","7.7","5.8",".",".",".",".",".",".","1.9",".",".","."
"Criminal Law and Justice","314","001","46","3.565","41.3","41.3","10.9","2.2","4.3",".",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","315","002","37","3.973","97.3",".","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics of East & SE Asia","328","001","56","3.634","48.2","37.5","8.9","3.6","1.8",".",".",".",".",".",".",".",".",".",".","."
"Russian Politics","334","001","82","3.329","24.4","25.6","22.0","8.5","4.9",".",".","14.6",".",".",".",".",".",".",".","."
"Terrorism","347","001","153","3.336","40.5","24.8","16.3","6.5","7.2","2.6","1.3","0.7",".",".",".",".",".",".",".","."
"Analysis of Intl Relations","348","001","96","3.037","29.2","18.8","22.9","11.5","8.3","1.0","6.3","2.1",".",".",".",".",".",".",".","."
"Machiavelli and His World","365","001","98","3.485","43.9","28.6","20.4","1.0","4.1","1.0","1.0",".",".",".",".",".",".",".",".","."
"","400","003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","004","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","401","001","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The American Presidency","408","001","65","3.163","13.8","18.5","33.8","7.7","6.2",".",".","16.9",".",".",".",".","3.1",".",".","."
"The American Constitution I","411","001","57","3.712","40.4","49.1","1.8",".",".",".",".","8.8",".",".",".",".",".",".",".","."
"Topics in Political Philos","460","001","28","3.167","25.0","17.9","28.6","14.3","10.7",".",".",".",".",".",".",".","3.6",".",".","."
"Philos, Poli, & Econ Seminar","461","001","15","2.833","20.0","20.0","26.7","13.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"Women and Politics","469","001","36","3.700","63.9","22.2","5.6","2.8",".","2.8",".",".",".",".",".",".",".",".",".","2.8"
"The First Amendment","470","001","53","3.190","13.2","35.8","26.4","11.3","7.5",".",".","3.8",".",".",".",".",".","1.9",".","."
"Campaign Finance","511","001","51","3.333","17.6","45.1","23.5","5.9",".",".","2.0","3.9",".",".",".",".","2.0",".",".","."
"","601","002","14","3.393","28.6","35.7","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","601","003","13","3.583","46.2","30.8","7.7",".","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"Prosem: Topics in Poli Sci","","Course Total","27","3.481","37.0","33.3","14.8","7.4","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"Senior Honors Thesis Smr","683","001","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Stdy Abroad-Pol Sci:CmpartvPol","690","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","082","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 307 of 438",""
