"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Educ in Diary Sci","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"101
Intro to Animal Sciences","001","","19","3.158","15.8","5.3","73.7","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"233
Dairy Herd Management I","001","","25","3.840","80.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"299","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.909","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Lactation Physiology","001","","27","2.926","22.2","11.1","29.6","18.5","14.8",".","3.7",".",".",".",".",".",".",".",".","."
"370
Livestck Prod&Hlth-Ag Dvlpm","001","","12","3.545","41.7","16.7","33.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"375
Special Topics","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","024","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","15","2.233","6.7",".","26.7","20.0","26.7","13.3","6.7",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","19","3.132","15.8","26.3","31.6","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Dairy Science Tchng","Course Total","","3","***","","","","","","","","","","","","","","","",""
"825
Ruminant Nutr Phys II","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","3","***","","","","","","","","","","","","","","","",""
"900","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","3","***","","","","","","","","","","","","","","","",""
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
