"TERM : 1192","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2018-2019","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"FRENCH (FRENCH AND ITALIAN) Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"FRENCH
Dept. Total
400","887","3.538","49.8","26.0","12.4","4.2","2.3","0.3","1.0","2.5","",".",".","",".","0.5","0.5","0.1","0.3","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","161","3.527","42.2","34.2","16.1","2.5","3.7",".","0.6",".","",".",".","",".",".",".",".","0.6","."
"Sophomore","176","3.495","41.5","34.1","12.5","6.8","2.3","0.6","0.6","1.7","",".",".","",".",".",".",".",".","."
"Junior","178","3.472","49.4","23.0","14.6","5.1","3.4",".","1.7","1.1","",".",".","",".",".","1.1","0.6",".","."
"Senior","222","3.482","52.7","23.0","14.0","5.4","1.8","0.9","1.8",".","",".",".","",".",".",".",".",".","0.5"
"Undergraduates","737","3.494","46.9","28.1","14.2","5.0","2.7","0.4","1.2","0.7","",".",".","",".",".","0.3","0.1","0.1","0.1"
"Special","19","3.833","47.4","21.1",".",".",".",".",".","26.3","",".",".","",".",".",".",".","5.3","."
"Graduate","131","3.854","66.4","15.3","3.8",".",".",".",".","9.2","",".",".","",".","3.1","1.5",".","0.8","."
"Dept. Total","887","3.538","49.8","26.0","12.4","4.2","2.3","0.3","1.0","2.5","",".",".","",".","0.5","0.5","0.1","0.3","0.1"
