"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","111
001","44","3.920","86.4","11.4","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","39","3.923","89.7","7.7",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","111
003","42","3.893","85.7","9.5","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills Undergrads","Course Total","125","3.912","87.2","9.6","1.6","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Consuming Happiness","173
001","44","3.558","47.7","25.0","15.9","6.8","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"","201
001","50","3.410","26.0","44.0","18.0","10.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","201
002","50","3.650","48.0","38.0","10.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Research & Analysis","Course Total","100","3.530","37.0","41.0","14.0","7.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Retail Leadership Symposium","250
001","115","3.770","80.0","7.8","6.1","1.7","3.5",".","0.9",".",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","251
001","81","3.642","75.3","7.4","12.3",".",".",".","4.9",".",".",".",".",".",".",".",".","."
"Introduction to Retailing","257
001","132","3.652","62.1","18.9","12.1","3.8","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"Finances & Families","273
001","44","3.628","56.8","22.7","11.4","4.5",".","2.3",".","2.3",".",".",".",".",".",".",".","."
"","275
001","83","2.994","9.6","28.9","31.3","22.9","2.4","3.6","1.2",".",".",".",".",".",".",".",".","."
"","275
002","94","2.489","5.3","16.0","24.5","24.5","16.0","5.3","8.5",".",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","177","2.726","7.3","22.0","27.7","23.7","9.6","4.5","5.1",".",".",".",".",".",".",".",".","."
"Independent Study","299
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Analytics","301
001","43","3.524","37.2","37.2","11.6","7.0","2.3",".",".","2.3",".",".",".",".","2.3",".",".","."
"","321
001","42","3.732","71.4","14.3",".","9.5","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"","321
002","44","3.784","84.1","9.1",".","2.3","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"","321
003","32","3.734","78.1","3.1","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","321
005","39","3.885","84.6","10.3","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills After Grad","Course Total","157","3.785","79.6","9.6","1.9","6.4","1.3",".","0.6","0.6",".",".",".",".",".",".",".","."
"Financial Assets & Capability","340
001","45","3.568","40.0","42.2","6.7","6.7","2.2",".",".",".",".",".",".",".","2.2",".",".","."
"Financial Coaching","355
001","20","3.650","60.0","25.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","35","2.971","25.7","20.0","17.1","14.3","17.1","2.9","2.9",".",".",".",".",".",".",".",".","."
"Cons Strategy & Evl","555
001","75","3.747","61.3","28.0","9.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Channel Strategy","561
001","45","3.744","60.0","28.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Global Consumer","562
001","58","3.845","75.9","17.2","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564
001","50","3.000","22.0","20.0","24.0","16.0","12.0","6.0",".",".",".",".",".",".",".",".",".","."
"Product Development Strategies","567
001","52","3.529","46.2","30.8","9.6","9.6","3.8",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","12","3.833","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
015","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","627
001","43","3.128","32.6","20.9","18.6","14.0","7.0","4.7","2.3",".",".",".",".",".",".",".",".","."
"","627
002","42","3.262","21.4","42.9","14.3","19.0",".",".","2.4",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","Course Total","85","3.194","27.1","31.8","16.5","16.5","3.5","2.4","2.4",".",".",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","635
001","47","3.319","29.8","34.0","12.8","17.0","6.4",".",".",".",".",".",".",".",".",".",".","."
"","657
001","52","3.731","55.8","34.6","9.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","657
002","50","3.830","68.0","30.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","102","3.779","61.8","32.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Spec Topics-Consumer Sci","901
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
