"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"POP HLTH","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","32","3.661","50.0","34.4","15.6",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","60","3.660","55.0","25.0","15.0",".","1.7","",".","",".","3.3","",".",".","",".",".",".",".",".","."
"Undergraduates","95","3.649","52.6","27.4","16.8",".","1.1","",".","",".","2.1","",".",".","",".",".",".",".",".","."
"Special","20","3.547","65.0","5.0","10.0","5.0","10.0","",".","",".","5.0","",".",".","",".",".",".",".",".","."
"Graduate","142","3.782","60.6","14.1","5.6","2.1",".","",".","",".","12.0","",".",".","",".","1.4","2.1",".","2.1","."
"Prof Yr 1","91","3.944","8.8","1.1",".",".",".","",".","",".",".","",".","89.0","",".","1.1",".",".",".","."
"Prof Yr 2","17","3.571","35.3","17.6","17.6",".",".","",".","",".","17.6","",".","11.8","",".",".",".",".",".","."
"Prof Yr 3","11","3.800","54.5",".","9.1",".",".","",".","",".","27.3","",".","9.1","",".",".",".",".",".","."
"Prof Yr 4","319","3.820","53.3","14.4","7.8","2.8",".","",".","",".","16.6","",".",".","",".",".","5.0",".",".","."
"Professionals","438","3.812","43.4","11.4","6.6","2.1",".","",".","",".","13.5","",".","19.2","",".","0.2","3.7",".",".","."
