"ALS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (C A L S)","Section","#","Ave","A","AB","B","","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","155
001","42","3.940","95.2","2.4","",".",".","2.4","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","155
002","28","3.893","92.9",".","",".","7.1",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Issues in Ag, Envir & Life Sci","Course Total","70","3.921","94.3","1.4","",".","2.9","1.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"WISE Seminar","175
001","79","3.981","94.9","3.8","",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".","1.3","."
"Senior Honors Thesis","682
001","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INTER-AG
494","Dept. Total","150","3.953","94.7","2.7","",".","1.3","0.7","",".","",".","",".","",".",".","",".","",".","",".",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","98","3.954","93.9","3.1","",".","2.0",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.0","."
"Sophomore","","45","3.944","95.6","2.2","",".",".","2.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","6","4.000","100.0",".","",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","150","3.953","94.7","2.7","",".","1.3","0.7","",".","",".","",".","",".",".","",".","",".","",".",".","0.7","."
"","Dept. Total","150","3.953","94.7","2.7","",".","1.3","0.7","",".","",".","",".","",".",".","",".","",".","",".",".","0.7","."
