"BUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"","200
001","118","3.280","33.9","22.0","24.6","13.6","1.7","4.2","",".",".","",".","",".",".","",".","",".","",".",".","."
"","200
002","76","3.329","42.1","18.4","17.1","10.5","10.5","1.3","",".",".","",".","",".",".","",".","",".","",".",".","."
"International Business","Course Total","194","3.299","37.1","20.6","21.6","12.4","5.2","3.1","",".","",".","",".",".","",".","",".","",".",".",".","."
"","313
001","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","313
002","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Prof Comm&Cultr in Franc World","Course Total","4","***","","","","","","","","","","","","","","","","","","","","","",""
"Intercultural Communctn in Bus","320
001","19","3.868","78.9","15.8","5.3",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Spanish for Business","329
001","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Contemporary Topics","365
001","247","3.957","95.5","2.4","0.4","1.2","0.4",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","403
001","10","3.400","30.0","20.0","50.0",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","403
002","15","3.333","33.3","20.0","33.3","6.7","6.7",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Global Issues in Management","Course Total","25","3.360","32.0","20.0","40.0","4.0","4.0",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Global Marketing Strategy","420
001","17","3.824","76.5","11.8","11.8",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Multinational Bus Finance","445
001","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INTL BUS
235","Dept. Total","511","3.526","68.5","11.2","11.2","5.7","2.3","1.2","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","30","3.128","20.0","23.3","26.7","30.0",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","244","3.516","74.2","7.8","8.6","5.7","3.3","0.4","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","200","3.685","75.5","11.5","8.5","2.0","1.0","1.5","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","474","3.560","71.3","10.3","9.7","5.7","2.1","0.8","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","36","3.236","33.3","19.4","30.6","5.6","5.6","5.6","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","511","3.526","68.5","11.2","11.2","5.7","2.3","1.2","",".","",".","",".",".","",".","",".","",".",".",".","."
