"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","134","3.447","50.7","23.1","14.2","3.7","4.5","1.5","2.2",".","",".",".","",".",".","",".",".",".","."
"Senior","181","3.340","45.3","15.5","21.5","7.7","6.6","1.7","1.1",".","",".",".","",".","0.6","",".",".",".","."
"Undergraduates","318","3.391","48.1","18.6","18.2","6.0","5.7","1.6","1.6",".","",".",".","",".","0.3","",".",".",".","."
"Special","3","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","153","3.796","28.8","5.2","2.0",".",".",".",".","26.8","",".","35.9","",".","1.3","",".",".",".","."
"Prof Yr 1","270","3.644","62.6","15.2","15.2","4.1","2.2","0.7",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","425","3.507","48.9","20.5","20.0","6.6","3.3","0.5","0.2",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","136","3.695","58.1","24.3","16.2","1.5",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","831","3.589","54.9","19.4","17.8","4.9","2.4","0.5","0.1",".","",".",".","",".",".","",".",".",".","."
