"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1690","3.451","42.4","23.8","17.5","5.3","3.8","0.6","1.3","2.9","",".","0.1","",".","0.7","1.1","0.2","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","66","3.120","18.2","21.2","43.9","9.1","4.5","1.5","1.5",".","",".",".","",".",".",".",".",".","."
"Sophomore","","428","3.394","34.1","32.2","21.5","5.4","4.4","0.5","0.9",".","",".",".","",".",".","0.7",".",".","0.2"
"Junior","","374","3.361","34.5","31.6","18.2","7.8","3.7","0.8","1.9","0.3","",".",".","",".",".","1.1","0.3",".","."
"Senior","","441","3.370","40.1","24.0","18.4","7.0","5.2","0.7","1.6","0.2","",".",".","",".","0.2","1.8","0.5",".","0.2"
"Undergraduates","","1309","3.363","35.4","28.7","20.6","6.8","4.5","0.7","1.5","0.2","",".",".","",".","0.1","1.1","0.2",".","0.2"
"Special","","61","3.693","45.9","9.8","11.5",".","3.3",".",".","19.7","",".","3.3","",".",".","1.6",".","3.3","."
"Graduate","","319","3.801","70.2","6.3","6.0",".","0.9","0.3","0.9","11.0","",".",".","",".","3.1","0.9",".","0.3","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","1690","3.451","42.4","23.8","17.5","5.3","3.8","0.6","1.3","2.9","",".","0.1","",".","0.7","1.1","0.2","0.2","0.1"
