"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEBREW-BIBLICAL","Section","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"441
HEBR-BIB","","","","","","","","","","","","","","","","","","","","","","","","",""
"Elementary Biblical Hebrew, I","103","001","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Biblical Hebrew I","323","001","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Adv Near Eastern Languages","700","001","5","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Aramaic I","701","001","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","990","021","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"HEBR-BIB
441","","Dept. Total","17","3.436","29.4","23.5","17.6","11.8","",".","",".","",".","",".","",".",".",".","17.6",".",".",".","."
