"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"577
Sm Animal Emrgncy&Crit Care II","001","","11","",".",".",".",".",".",".",".","90.9",".",".",".",".","9.1",".",".","."
"632
Companion Animal&Equine Med I","001","","85","3.524","42.4","25.9","28.2","1.2","2.4",".",".",".",".",".",".",".",".",".",".","."
"634
Food Animal Medicine","001","","85","3.041","16.5","16.5","42.4","10.6","12.9","1.2",".",".",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","10","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","21","4.000","19.0",".",".",".",".",".",".","81.0",".",".",".",".",".",".",".","."
"669
Small Anml Cardiolgy Rotatn","001","","19","4.000","5.3",".",".",".",".",".",".","94.7",".",".",".",".",".",".",".","."
"670
Sr Rotation:Lrge Animal Med","001","","36","4.000","30.6",".",".",".",".",".",".","69.4",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","32","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"675","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"675","002","","33","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"675","003","","9","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"675","004","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","005","","54","4.000","98.1",".",".",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"675","007","","13","4.000","30.8",".",".",".",".",".",".","61.5",".",".",".",".",".",".","7.7","."
"675","008","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","026","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","154","4.000","59.1",".",".",".",".",".",".","39.6",".",".",".",".","0.6",".","0.6","."
"678","001","","43","4.000","60.5",".",".",".",".",".",".","39.5",".",".",".",".",".",".",".","."
"678","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","45","4.000","62.2",".",".",".",".",".",".","37.8",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","13","4.000","61.5",".",".",".",".",".",".","38.5",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","32","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","49","4.000","26.5",".",".",".",".",".",".","71.4",".",".",".",".",".",".","2.0","."
"775","001","","26","",".",".",".",".",".",".",".","96.2",".",".",".",".",".",".","3.8","."
"775","002","","19","",".",".",".",".",".",".",".","94.7",".",".",".",".",".",".","5.3","."
"775","003","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","004","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Externship","Course Total","","63","",".",".",".",".",".",".",".","96.8",".",".",".",".",".",".","3.2","."
