"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","475
001","40","3.128","35.0","12.5","20.0","7.5","20.0","2.5",".","2.5",".",".",".",".",".",".",".","."
"","475
002","34","3.000","32.4","11.8","35.3","5.9",".","8.8","5.9",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","74","3.068","33.8","12.2","27.0","6.8","10.8","5.4","2.7","1.4",".",".",".",".",".",".",".","."
"","514
001","43","3.047","23.3","23.3","25.6","18.6","2.3","2.3","4.7",".",".",".",".",".",".",".",".","."
"","514
002","43","2.930","23.3","23.3","16.3","14.0","11.6","11.6",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","Course Total","86","2.988","23.3","23.3","20.9","16.3","7.0","7.0","2.3",".",".",".",".",".",".",".",".","."
"","521
001","32","2.919","28.1","12.5","21.9","3.1","21.9","9.4",".",".",".",".",".",".",".",".",".","3.1"
"","521
002","35","3.162","31.4","11.4","25.7","14.3","14.3",".",".",".",".",".",".",".",".","2.9",".","."
"","521
003","25","2.875","36.0","8.0","24.0",".","12.0","8.0","8.0","4.0",".",".",".",".",".",".",".","."
"","521
004","33","3.078","33.3","9.1","27.3","6.1","15.2","6.1",".",".","3.0",".",".",".",".",".",".","."
"Analysis I","Course Total","125","3.021","32.0","10.4","24.8","6.4","16.0","5.6","1.6","0.8","0.8",".",".",".",".","0.8",".","0.8"
"","522
001","27","3.111","37.0","14.8","14.8","14.8","11.1","7.4",".",".",".",".",".",".",".",".",".","."
"","522
002","29","3.293","31.0","20.7","27.6","17.2","3.4",".",".",".",".",".",".",".",".",".",".","."
"Analysis II","Course Total","56","3.205","33.9","17.9","21.4","16.1","7.1","3.6",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","24","2.271","20.8",".","16.7","12.5","20.8","20.8","8.3",".",".",".",".",".",".",".",".","."
"","541
001","21","2.714","28.6","14.3","19.0","14.3","4.8","4.8","14.3",".",".",".",".",".",".",".",".","."
"","541
002","24","2.938","37.5","8.3","16.7","4.2","20.8","12.5",".",".",".",".",".",".",".",".",".","."
"","541
003","19","3.000","52.6","10.5","10.5",".","10.5",".","15.8",".",".",".",".",".",".",".",".","."
"Modern Algebra","Course Total","64","2.883","39.1","10.9","15.6","6.3","12.5","6.3","9.4",".",".",".",".",".",".",".",".","."
"Modern Algebra","542
001","36","3.044","22.2","25.0","25.0",".","13.9","8.3",".",".",".",".",".",".","5.6",".",".","."
"Elementary Topology","551
001","43","3.035","41.9","7.0","18.6","4.7","20.9","2.3","4.7",".",".",".",".",".",".",".",".","."
"Elementary Number Theory","567
001","44","3.244","36.4","18.2","20.5","11.4","6.8","4.5",".",".",".",".",".",".","2.3",".",".","."
"Fundamentals of Set Theory","570
001","13","2.769","30.8","23.1",".","7.7","23.1","7.7","7.7",".",".",".",".",".",".",".",".","."
"Complex Analysis","623
001","26","3.560","50.0","15.4","23.1","7.7",".",".",".",".","3.8",".",".",".",".",".",".","."
"","632
002","52","3.462","63.5","5.8","17.3","1.9","5.8","3.8","1.9",".",".",".",".",".",".",".",".","."
"","632
003","48","3.128","39.6","6.3","22.9","6.3","20.8",".","2.1",".","2.1",".",".",".",".",".",".","."
"","632
004","36","3.028","27.8","16.7","19.4","16.7","16.7",".","2.8",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","136","3.230","45.6","8.8","19.9","7.4","14.0","1.5","2.2",".","0.7",".",".",".",".",".",".","."
"Senior Honors Thesis","681
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math 1","703
001","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714
001","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Crse in Real Analysis","721
001","30","3.586","46.7","20.0","30.0",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Nonlinear Optimization I","726
001","15","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability I","733
001","28","3.393","32.1","25.0","35.7","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Analysis","735
001","21","3.762","57.1","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","741
001","18","3.778","94.4",".",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Algebraic Number Theory","748
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology I","751
001","28","3.839","67.9","32.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","763
001","17","3.529","88.2",".",".",".",".",".","11.8",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","Page 282 of 438",""
