"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","125
019","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
020","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
021","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
022","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
023","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
024","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
025","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
026","22","3.795","90.9","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","125
028","16","3.750","93.8",".",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","125
029","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
030","18","3.861","83.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"A Wisconsin Experience Seminar","Course Total","535","3.917","91.2","5.4","1.1","1.1","0.4","0.2","0.4",".",".",".",".",".","0.2",".",".","."
"Coming to Terms-Cultrl Divrsty","225
001","218","3.862","80.3","14.2","2.8","1.4","0.9",".",".",".",".",".",".",".","0.5",".",".","."
"Race and the Developing Child","230
001","27","3.852","81.5","14.8",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","300
004","27","3.593","55.6","29.6","11.1",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"","300
005","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Couns./Couns. Psych","Course Total","44","3.693","63.6","25.0","9.1",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Smr:Stdts Seekng Educ Equ&Div","325
001","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth: Prevent & Interv","531
001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
004","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
005","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","65","3.991","98.5","1.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","650
001","97","3.804","74.2","16.5","6.2","2.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
038","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Professional Counseling Orient","730
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar on Meta-Analysis","755
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fndtns Clin Mental Hlth Counsl","791
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theories of Counseling","800
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Helping Relations & Techniques","805
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supv Internship in Counseling","808
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev & Clinical Prac","810
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consultation Proc-Counselor","850
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Cultural Counseling","860
001","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
