"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Exploring Psychology","100
001","23","3.913","91.3",".","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
001","352","3.215","34.1","22.4","19.6","11.4","6.8","4.8","0.6",".",".",".",".",".",".","0.3",".","."
"","202
002","366","2.883","16.9","25.4","23.0","13.1","9.8","8.7","2.5",".",".",".",".",".","0.3",".",".","0.3"
"","202
003","237","3.860","84.0","9.3","3.4","1.7","0.8",".","0.4",".",".",".",".",".",".",".",".","0.4"
"","202
004","375","2.912","21.6","20.0","19.2","18.4","11.7","6.9","1.9",".",".",".",".",".","0.3",".",".","."
"","202
005","374","3.330","42.0","24.1","13.1","9.6","6.4","3.7","0.8","0.3",".",".",".",".",".",".",".","."
"","202
006","25","3.760","56.0","40.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
010","22","3.429","27.3","45.5","9.1","9.1","4.5",".",".",".",".",".",".",".",".",".",".","4.5"
"Introduction to Psychology","Course Total","1751","3.207","36.5","21.6","16.3","11.4","7.5","5.1","1.3","0.1",".",".",".",".","0.1","0.1",".","0.2"
"","210
001","59","2.746","20.3","5.1","25.4","8.5","37.3","3.4",".",".",".",".",".",".",".",".",".","."
"","210
002","61","2.787","11.5","8.2","44.3","8.2","23.0","4.9",".",".",".",".",".",".",".",".",".","."
"","210
003","54","2.519","11.1","5.6","20.4","11.1","44.4","5.6",".",".",".",".",".",".","1.9",".",".","."
"","210
004","59","2.686","20.3","11.9","27.1","10.2","16.9","5.1","8.5",".",".",".",".",".",".",".",".","."
"","210
006","43","2.988","20.9","11.6","37.2","9.3","18.6","2.3",".",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","276","2.736","16.7","8.3","30.8","9.4","28.3","4.3","1.8",".",".",".",".",".","0.4",".",".","."
"","225
001","105","3.652","63.8","10.5","18.1",".","3.8","1.0",".",".",".",".",".",".","2.9",".",".","."
"","225
002","99","3.133","22.2","13.1","41.4","15.2","6.1","1.0",".",".",".",".",".",".","1.0",".",".","."
"Research Methods","Course Total","204","3.398","43.6","11.8","29.4","7.4","4.9","1.0",".",".",".",".",".",".","2.0",".",".","."
"Issues in Psychology","311
001","40","3.756","85.0","2.5","2.5",".","2.5","5.0",".",".",".",".",".",".",".",".","2.5","."
"Introduction-Human Factors","349
001","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","380
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Learning in Psychology","399
033","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychology Law & Social Policy","401
001","96","3.321","25.0","37.5","19.8","9.4","7.3",".",".",".",".",".",".",".","1.0",".",".","."
"","405
001","277","3.177","12.3","49.8","16.2","12.3","5.8","3.2","0.4",".",".",".",".",".",".",".",".","."
"","405
002","16","3.750","62.5","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Abnormal Psychology","Course Total","293","3.218","15.0","48.8","15.4","11.9","5.5","3.1","0.3",".",".",".",".",".",".",".",".","."
"","413
001","181","2.959","23.8","19.9","22.7","9.4","17.1","5.5","1.7",".",".",".",".",".",".",".",".","."
"","413
002","18","3.556","55.6","22.2","16.7",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Language, Mind, and Brain","Course Total","199","3.028","26.6","20.1","22.1","8.5","15.6","5.5","1.5",".",".",".",".",".",".",".",".","."
"","414
001","164","2.948","14.0","14.0","42.7","14.6","9.8","3.7","0.6",".",".",".",".",".",".",".",".","0.6"
"","414
002","18","3.472","38.9","22.2","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Cognitive Psychology","Course Total","182","3.015","16.5","14.8","41.8","13.7","8.8","3.3","0.5",".",".",".",".",".",".",".",".","0.5"
"","449
001","77","3.000","11.7","26.0","27.3","23.4","7.8","2.6",".",".",".",".",".",".","1.3",".",".","."
"","449
002","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Behavior","Course Total","90","3.150","21.1","23.3","25.6","20.0","6.7","2.2",".",".",".",".",".",".","1.1",".",".","."
"","456
001","91","3.494","41.8","36.3","9.9","4.4","5.5",".","1.1",".",".",".",".",".",".",".",".","1.1"
"","456
002","167","3.190","34.1","21.0","19.8","12.0","6.6","4.8","1.2","0.6",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","258","3.318","36.8","26.4","16.3","9.3","6.2","3.1","1.2","0.4",".",".",".",".",".",".",".","0.4"
"Child Development","460
001","197","3.241","32.5","24.4","20.3","11.7","8.1","2.5","0.5",".",".",".",".",".",".",".",".","."
"Human Emotions:Biology-Culture","508
001","101","3.272","34.7","19.8","21.8","14.9","7.9","1.0",".",".",".",".",".",".",".",".",".","."
"Issues Child Psychopathology","510
001","125","3.236","32.0","25.6","20.0","10.4","9.6","0.8","1.6",".",".",".",".",".",".",".",".","."
"Hum Thought:Concpts,Lang,Cult","521
001","69","3.500","62.3","7.2","8.7","13.0","4.3","2.9",".",".",".",".",".",".",".",".","1.4","."
"Psychology of Women and Gender","522
001","24","3.417","37.5","25.0","20.8","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","Page 311 of 438",""
