"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"MICROBIO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","230","3.126","26.5","17.8","30.0","11.3","13.5","0.9",".",".","",".",".","",".",".",".",".",".","."
"Junior","417","3.231","35.0","17.3","31.4","6.7","7.7","1.4","0.5",".","",".",".","",".",".",".",".",".","."
"Senior","697","3.248","38.9","16.4","25.8","6.5","8.6","2.7","0.6","0.1","",".",".","",".","0.3","0.1",".",".","."
"Undergraduates","1350","3.222","35.9","16.8","28.1","7.3","9.1","2.0","0.4","0.1","",".",".","",".","0.1","0.1",".",".","."
"Special","18","3.590","50.0","16.7","33.3",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","208","3.758","53.8","7.2","8.2",".",".",".",".","9.1","",".",".","",".","21.2",".",".","0.5","."
"Prof Yr 4","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
