"AFRICAN CULTURAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro Afr Cultural Expression","100
001","90","3.817","76.7","13.3","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","27","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","32","3.875","84.4","9.4","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","30","3.948","86.7","10.0",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","210
005","29","3.914","93.1","3.4",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","210
006","28","3.750","71.4","21.4","3.6",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","155","3.883","83.9","12.3","1.3","0.6","0.6","0.6",".",".",".",".",".",".","0.6",".",".","."
"Africa: Introductory Survey","277
001","19","3.474","26.3","47.4","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","14","3.654","64.3","7.1","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","7.1"
"","321
002","20","3.868","80.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0"
"","321
003","19","2.639","47.4","10.5",".","5.3",".","10.5","21.1","5.3",".",".",".",".",".",".",".","."
"First Semester Arabic","Course Total","53","3.370","64.2","7.5","5.7","5.7",".","3.8","7.5","1.9",".",".",".",".",".",".",".","3.8"
"","323
001","11","3.545","45.5","36.4","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","323
002","9","3.333","22.2","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Arabic","Course Total","20","3.450","35.0","35.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","329
001","11","3.455","36.4","36.4","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","329
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Arabic","Course Total","12","3.500","41.7","33.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester Swahili","331
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yoruba","371
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem-Lang of West Africa","393
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theories of Afr Cult Studies","403
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in African Languages","407
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Methods LCTL Learning","670
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multilanguage Seminar","671
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Reading&Writing Afri Cultr Std","700
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Theories of Afr Cult Studies","803
001","11","3.773","72.7","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Sem in ACS: Tpcs","905
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intdept Smr-African Studies","983
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
"","999
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Research","Course Total","2","***","","","","","","","","","","","","","","","",""
