"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","","",""
"Topic in 19th-Century Amer Lit","456","001","","27","3.685","74.1","11.1","3.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","461","001","","29","3.690","55.2","34.5","3.4","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","461","002","","21","3.405","42.9","28.6",".","23.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","","Course Total","","50","3.570","50.0","32.0","2.0","14.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diaspora and Theatre","477","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indian Writers Abroad","478","001","","7","3.750","42.9","42.9",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","515","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"English Grammar in Use","516","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Old English","520","001","","13","3.167","30.8","23.1","15.4","7.7","7.7","7.7",".","7.7",".",".",".",".",".",".",".","."
"Health and the Humanities","525","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Literatures in Diaspora","539","001","","8","3.313","37.5","37.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Travel Writing before 1800","546","001","","18","3.735","61.1","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","5.6","."
"Brit Drama, 1914 to Present","575","001","","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","001","","11","3.625","36.4","18.2","18.2",".",".",".",".",".",".",".",".",".","27.3",".",".","."
"","681","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","114","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Directed Creative Writing","","Course Total","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","114","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","134","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Intro-Composition Studies","700","001","","19","4.000","89.5",".",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Compositn&Critical Theories","722","001","","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Graduate Fiction Workshop","781","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Poetry Workshop","782","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing Pedagogy Smr","783","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","785","005","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","785","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","785","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MFA Thesis","","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","790","002","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Proseminar-Teaching of Writing","","Course Total","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Independent Reading","799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
