"","990
073","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
078","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
081","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","36","",".",".",".",".",".",".","",".","86.1","",".",".","",".","13.9",".",".",".","."
"PATH-BIO
703","Dept. Total","1158","3.593","42.1","11.9","13.7","1.6","1.0","0.2","",".","28.8","",".",".","",".","0.4","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","28","3.850","92.9",".","3.6","3.6",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","24","3.594","75.0","4.2","12.5","8.3",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","27","3.228","48.1","3.7","37.0",".","7.4","3.7","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","41","3.625","75.6","2.4","14.6",".","4.9","2.4","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","120","3.539","73.3","2.5","16.7","2.5","3.3","1.7","",".",".","",".",".","",".",".",".",".",".","."
"Special","","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","59","3.643","8.5","3.4","1.7",".",".",".","",".","79.7","",".",".","",".","6.8",".",".",".","."
"Prof Yr 1","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 2","","774","3.593","46.9","17.2","17.7","2.1","1.0",".","",".","14.9","",".",".","",".","0.1","0.1",".",".","."
"Prof Yr 3","","85","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","117","4.000","25.6",".",".",".",".",".","",".","73.5","",".",".","",".",".",".",".","0.9","."
"Professionals","","977","3.602","40.2","13.6","14.0","1.6","0.8",".","",".","29.4","",".",".","",".","0.1","0.1",".","0.1","."
"","Dept. Total","1158","3.593","42.1","11.9","13.7","1.6","1.0","0.2","",".","28.8","",".",".","",".","0.4","0.1",".","0.1","."
