"L&S","","","","","","","","","","","","","","","","","","","","","",""
"LATIN (CLASSICS)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","",""
"","103
001","19","2.605","15.8","5.3","31.6","10.5","26.3","5.3","5.3",".",".","",".",".","",".","",".",".",".","."
"","103
002","11","2.727","27.3",".",".","36.4","36.4",".",".",".",".","",".",".","",".","",".",".",".","."
"","103
004","14","3.179","50.0","7.1","21.4",".","7.1","14.3",".",".",".","",".",".","",".","",".",".",".","."
"","103
005","16","2.875","18.8","18.8","12.5","31.3","12.5","6.3",".",".",".","",".",".","",".","",".",".",".","."
"Elementary Latin","Course Total","60","2.833","26.7","8.3","18.3","18.3","20.0","6.7","1.7",".","",".",".","",".","",".",".",".",".","."
"Intermediate Latin","203
001","17","3.000","5.9","41.2","29.4","5.9","11.8","5.9",".",".",".","",".",".","",".","",".",".",".","."
"Latin Lit of Roman Republic","301
001","11","3.550","45.5","18.2","18.2","9.1",".",".",".",".",".","",".",".","",".","","9.1",".",".","."
"Latin Historical Writers","539
001","15","3.500","60.0","20.0","13.3",".",".",".","6.7",".",".","",".",".","",".","",".",".",".","."
"Individual Research Thesis","890
042","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"LATIN
524","Dept. Total","105","2.997","29.5","16.2","19.0","12.4","13.3","4.8","1.9","1.9","",".",".","",".","",".","1.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","2.946","19.2","23.1","19.2","15.4","19.2","3.8",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","24","3.006","29.2","12.5","25.0","16.7","4.2","4.2","4.2",".","",".",".","",".","",".","4.2",".",".","."
"Junior","","19","2.833","21.1","21.1","15.8","15.8","15.8","10.5",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","20","3.261","45.0","15.0","20.0","10.0","5.0",".","5.0",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","89","3.004","28.1","18.0","20.2","14.6","11.2","4.5","2.2",".","",".",".","",".","",".","1.1",".",".","."
"Special","","5","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","11","3.466","45.5","9.1","18.2",".","9.1",".",".","18.2","",".",".","",".","",".",".",".",".","."
"","Dept. Total","105","2.997","29.5","16.2","19.0","12.4","13.3","4.8","1.9","1.9","",".",".","",".","",".","1.0",".",".","."
