"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","163","3.022","23.3","17.2","26.4","10.4","19.0","1.8","0.6","1.2",".",".",".",".",".",".",".","."
"","300
002","229","3.124","23.1","20.1","31.4","11.8","12.7","0.4","0.4",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","392","3.082","23.2","18.9","29.3","11.2","15.3","1.0","0.5","0.5",".",".",".",".",".",".",".","."
"","305
001","29","3.054","17.2","13.8","44.8","3.4","17.2",".",".",".",".",".",".",".",".","3.4",".","."
"","305
002","28","3.148","17.9","7.1","60.7","7.1","3.6",".",".",".",".",".",".",".",".","3.6",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","57","3.100","17.5","10.5","52.6","5.3","10.5",".",".",".",".",".",".",".",".","3.5",".","."
"","320
001","40","2.900","17.5","15.0","32.5","15.0","12.5","7.5",".",".",".",".",".",".",".",".",".","."
"","320
002","58","3.316","20.7","41.4","20.7","10.3","5.2",".",".",".",".",".",".",".",".","1.7",".","."
"","320
003","59","3.474","39.0","27.1","23.7","5.1","3.4",".",".",".",".",".",".",".",".","1.7",".","."
"","320
004","57","3.307","24.6","21.1","45.6","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","214","3.278","26.2","27.1","30.4","9.3","4.7","1.4",".",".",".",".",".",".",".","0.9",".","."
"","325
002","59","3.339","28.8","22.0","39.0","8.5","1.7",".",".",".",".",".",".",".",".",".",".","."
"","325
003","58","3.233","12.1","25.9","58.6","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","325
004","55","3.282","20.0","25.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","325
005","58","3.328","19.0","34.5","39.7","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","230","3.296","20.0","27.0","45.7","7.0","0.4",".",".",".",".",".",".",".",".",".",".","."
"","330
001","57","3.286","26.3","28.1","28.1","10.5","3.5","1.8",".","1.8",".",".",".",".",".",".",".","."
"","330
002","56","3.273","26.8","23.2","28.6","16.1","3.6",".",".",".",".",".",".",".","1.8",".",".","."
"","330
003","53","3.387","43.4","11.3","28.3","13.2","3.8",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","166","3.314","31.9","21.1","28.3","13.3","3.6","0.6",".","0.6",".",".",".",".","0.6",".",".","."
"","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
002","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","19","3.895","89.5",".","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","25","3.771","60.0","28.0","8.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","365
005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","69","3.835","71.0","21.7","5.8",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"Bank Management","410
001","94","3.391","21.3","40.4","30.9","4.3","1.1",".",".",".",".",".",".",".","1.1","1.1",".","."
"Investmt Bankg & Capital Mrkts","420
001","33","3.561","36.4","39.4","24.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","37","3.770","70.3","13.5","16.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","700
030","44","3.534","40.9","25.0","34.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","45","3.611","40.0","48.9","4.4","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","40","3.563","40.0","32.5","27.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","39","3.385","23.1","30.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
007","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","35","3.871","80.0","14.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","198","3.669","52.0","28.8","17.7","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799
158","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
