"EGR","","","","","","","","","","","","","","","","","","","",""
"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","29","",".",".",".",".",".",".",".","79.3",".",".",".","17.2","3.4",".",".","."
"999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","069","","6","4.000","16.7",".",".",".",".",".",".",".","16.7",".",".","66.7",".",".",".","."
"999","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","13","4.000","46.2",".",".",".",".",".",".",".","7.7",".",".","46.2",".",".",".","."
