"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","53","3.163","13.2","28.3","35.8","18.9","1.9",".",".",".",".",".",".",".","1.9",".",".","."
"Fluid Mechanics","310","001","","93","3.011","17.2","20.4","35.5","9.7","14.0","2.2","1.1",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","63","2.833","14.3","20.6","20.6","22.2","17.5","1.6","3.2",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","93","3.054","15.1","18.3","47.3","3.2","15.1","1.1",".",".",".",".",".",".",".",".",".","."
"Environmentl Engr Processes","322","001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","45","3.233","22.2","37.8","24.4","4.4","6.7","4.4",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","44","3.636","63.6","15.9","15.9","2.3",".",".","2.3",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","57","3.420","36.8","17.5","36.8","5.3","1.8",".",".",".",".",".",".",".",".",".","1.8","."
"On-Site Waste Water Treatment","372","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","13","3.192","30.8","23.1","38.5",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","26","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","42","3.060","23.8","21.4","26.2","14.3","9.5","2.4","2.4",".",".",".",".",".",".",".",".","."
"Open Channel Hydraulics","411","001","","23","3.523","30.4","39.1","26.1",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"Env Sustain Eng","421","001","","25","3.420","40.0","24.0","24.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426","002","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426","003","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","","Course Total","","39","3.934","87.2","7.7","2.6",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"","427","001","","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","002","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","","Course Total","","53","3.972","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures I","445","001","","26","3.173","15.4","26.9","34.6","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","22","3.568","36.4","40.9","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","83","3.548","37.3","45.8","10.8","3.6","1.2","1.2",".",".",".",".",".",".",".",".",".","."
"Water Chemistry","500","001","","29","3.897","82.8","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations","532","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures II","547","001","","18","2.833","11.1","5.6","50.0","5.6","27.8",".",".",".",".",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","","13","3.292","38.5","23.1","15.4",".","7.7","7.7",".","7.7",".",".",".",".",".",".",".","."
"Traffic Control","574","001","","12","3.375","33.3","25.0","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Adv Highway Matl&Constructn","575","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","34","3.809","73.5","14.7","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","28","4.000","96.4",".",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Topic-Hydraulics&Fluid Mech","618","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Hydrology","619","001","","10","3.820","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Envir Engr","629","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","649","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
