"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"EAST ASIAN AREA STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-E Asian History:China","103
001","25","3.740","72.0","12.0","12.0",".","4.0",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Intro-E Asian History:Japan","104
001","25","2.740","8.0","12.0","44.0","8.0","20.0","8.0",".",".","",".","",".",".","",".","",".","",".",".","."
"Intro East Asian Civilizations","255
001","35","3.257","31.4","28.6","22.9","5.7","5.7","5.7",".",".","",".","",".",".","",".","",".","",".",".","."
"","300
001","24","3.375","41.7","25.0","20.8","8.3",".",".","4.2",".","",".","",".",".","",".","",".","",".",".","."
"","300
00A","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Humanities Topics in EAS","Course Total","25","3.400","44.0","24.0","20.0","8.0",".",".","4.0","",".","",".",".","",".","",".","",".",".",".","."
"E A STDS
298","Dept. Total","110","3.276","38.2","20.0","24.5","5.5","7.3","3.6","0.9","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","19","3.456","52.6","10.5","26.3",".","10.5",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","23","3.315","34.8","30.4","17.4","4.3","8.7","4.3",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","35","3.303","40.0","20.0","25.7","5.7","2.9","5.7",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","31","3.097","29.0","19.4","29.0","6.5","9.7","3.2","3.2","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","108","3.277","38.0","20.4","25.0","4.6","7.4","3.7","0.9","",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","110","3.276","38.2","20.0","24.5","5.5","7.3","3.6","0.9","",".","",".",".","",".","",".","",".",".",".","."
