"EDUCATIONAL PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"Current Topics-Ed Psych","Course Total","","38","3.983","94.7","2.6",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"719
Intro to Qualitative Research","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"720
Child Development","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Socl, Emotionl&Behav Assessmnt","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Assessment of Acad Skill Probs","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"760","001","","33","3.984","93.9","3.0",".",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"760","002","","28","3.962","85.7","7.1",".",".",".",".",".","3.6",".",".",".",".",".",".","3.6","."
"Stat Meth Appl to Educ I","Course Total","","61","3.974","90.2","4.9",".",".",".",".",".","3.3",".",".",".",".",".",".","1.6","."
"762
Intro: Dsgn-Ed Experiments","001","","31","4.000","96.8",".",".",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"763
Regression Models in Education","001","","46","3.942","82.6","10.9",".",".",".",".",".","4.3",".",".",".",".","2.2",".",".","."
"770
Human-Computer Interaction","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"771
Test Construction","001","","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"788
Qual Rsch Mthds-Educ: Field I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"795
Intro to Learning Sciences I","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803
Computational Research Methods","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"822
Intro Quant Inquiry in Educ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"840","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"840","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"840","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"840","009","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"844
Chld&Adoles Psychpathl/Schl","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"925
Advanced Seminar in Human Dev","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"943
Internshp-School Psychology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"948
Res and Meas in School Psych","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"971
Adv Smr-Educ Measuremnt&Stats","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
