"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","100","047","10","3.250","10.0","50.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","100","049","11","3.409","9.1","63.6","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","051","13","3.038","15.4","38.5","23.1","15.4",".",".","7.7",".",".",".",".",".",".",".",".","."
"","100","052","11","3.136",".","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100","053","12","3.208","16.7","33.3","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100","054","13","3.423","15.4","53.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","055","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","056","12","3.250","25.0","33.3","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","100","057","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","058","13","3.231",".","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","059","13","3.385","23.1","46.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100","060","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","061","13","3.385","38.5","15.4","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100","062","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","063","13","3.462","38.5","30.8","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","","Course Total","770","3.422","27.3","43.2","20.5","5.1","2.9","0.5","0.1","0.1",".",".",".",".","0.1","0.1",".","."
"Intro-Digital Media Production","155","001","146","3.866","80.1","15.8","2.7",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","181","001","11","3.500","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200","001","113","3.478","30.1","42.5","23.0","2.7",".",".","0.9",".",".",".",".",".","0.9",".",".","."
"Survey of Contemporary Media","250","001","232","3.011","5.6","29.7","39.2","17.2","5.2","0.9","1.3",".",".",".",".",".","0.4",".",".","0.4"
"Communication & Human Behav","260","001","235","3.817","76.2","15.3","5.5","0.4",".","0.9","0.4",".",".",".",".",".","0.9","0.4",".","."
"Thry&Pract-Argument&Debate","262","001","151","3.640","55.0","27.2","9.9","4.6","2.6",".",".",".",".",".",".",".","0.7",".",".","."
"Intro-Interpersonal Com","272","001","143","3.192","30.1","27.3","17.5","12.6","8.4","2.8","1.4",".",".",".",".",".",".",".",".","."
"Topics: Rhetoric & Com Science","310","001","74","3.632","51.4","27.0","13.5","4.1","1.4",".",".","2.7",".",".",".",".",".",".",".","."
"Media & Human Behavior","325","001","80","3.234","22.5","22.5","42.5","6.3","2.5","2.5",".",".",".",".",".",".","1.3",".",".","."
"Online Comm & Personal Rltnshp","345","001","59","2.983","13.6","23.7","27.1","20.3","13.6","1.7",".",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","97","3.135","2.1","49.5","33.0","8.2","4.1","1.0","1.0",".",".",".",".",".","1.0",".",".","."
"Race, Ethnicity, and Media","347","001","36","3.056","16.7","36.1","25.0","8.3","8.3",".","5.6",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","173","3.053","15.0","27.7","22.5","13.3","11.0","2.3","0.6","5.8",".",".",".",".","1.2",".","0.6","."
"Television Industries","351","001","145","2.734","4.8","17.9","35.2","20.7","13.1","4.1","2.8",".",".",".",".",".","1.4",".",".","."
"Film Genres","354","001","56","3.029","3.6","30.4","33.9","17.9","3.6","1.8",".","1.8",".",".",".",".",".",".","7.1","."
"Intro to Media Production","355","001","139","3.236","15.8","42.4","27.3","8.6","2.9",".","2.2",".",".",".",".",".","0.7",".",".","."
"Thry&Practice of Persuasion","368","001","118","2.970","21.2","17.8","22.0","20.3","15.3","2.5","0.8",".",".",".",".",".",".",".",".","."
"Rhetoric-Campaign&Revolutn","372","001","191","3.187","22.0","34.6","18.3","12.6","8.4",".","2.1",".",".",".",".",".","1.0",".","1.0","."
"Ethics of Entertainment Media","375","001","24","3.438","25.0","54.2","12.5",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"The Films of Alfred Hitchcock","400","001","24","3.605","25.0","45.8","8.3",".",".",".",".","20.8",".",".",".",".",".",".",".","."
"Psychology of Communication","402","001","27","3.058","18.5","22.2","22.2","18.5","14.8",".",".",".",".",".",".",".","3.7",".",".","."
"Media and National Identity","448","001","23","3.348","26.1","30.4","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"French Film","455","001","18","3.528","38.9","44.4","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"American Independent Cinema","462","001","20","3.575","40.0","35.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","001","16","3.500","18.8","50.0","18.8",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","465","002","16","3.433","18.8","43.8","31.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 199 of 438",""
