"CURRICULUM AND INSTRUCTIO Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Crit Aspects Teach, Schl, Educ","240","001","55","3.934","92.7",".",".","1.8","1.8",".",".",".",".",".",".",".",".","3.6",".","."
"Pract in World Lang (K-12)","243","001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Videogames & Learning","277","001","160","3.850","83.1","8.1","5.0","3.1","0.6",".",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 1","301","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Arr & Orch for Mus Teach","304","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","305","001","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Read&Write Across Content Area","309","001","24","3.688","58.3","25.0","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Language Acquisition and Use","311","001","25","3.880","76.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL/Bilingual Issues","312","001","25","3.920","92.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Wrtg in Early Childhood","315","001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dimensions of Literacy","317","001","25","3.920","96.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Teaching Reading and Writing","318","001","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Educ Young English Learners","325","001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mthds Young Eng Learners","327","001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Artistic Lives of Children","328","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Language of Schooling","338","001","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Fndtns-Lrng & Dev","339","001","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Educ Practicum One","340","001","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Teaching World Languages (K-8)","342","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching World Languages(6-12)","343","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","357","001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357","002","19","3.711","57.9","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Game Design I","","Course Total","31","3.758","64.5","25.8","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg of Hist & Other Soc St","359","001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","362","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama for Teaching & Learning","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Prac-Early Chldhd Ed-Kinder","363","001","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","364","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364","002","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Education","","Course Total","65","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365","002","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Tching Math in Inclusive Set","","Course Total","24","3.978","91.7","4.2",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","367","001","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367","002","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367","003","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","","Course Total","84","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368","001","22","3.976","90.9","4.5",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","368","002","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","","Page 86 of 438"
