"","990
081","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
082","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
083","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","71","",".",".",".",".",".",".",".","38.0",".",".",".","62.0",".",".",".","."
"BIOCHEM
200","Dept. Total","1544","3.277","42.2","13.3","18.1","5.8","11.5","1.6","0.2","3.4",".",".",".","3.4","0.1","0.1","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","44","3.500","72.7","2.3","11.4","2.3","6.8","2.3",".",".",".",".",".",".",".",".","2.3","."
"Junior","","432","3.158","35.0","14.8","21.5","9.5","17.4","1.6",".",".",".",".",".",".",".","0.2",".","."
"Senior","","701","3.272","41.4","15.7","19.4","6.4","12.8","2.3","0.4",".",".",".",".","1.1","0.1",".","0.1","0.1"
"Undergraduates","","1195","3.240","40.9","14.8","19.6","7.3","14.1","2.0","0.3",".",".",".",".","0.7","0.1","0.1","0.2","0.1"
"Special","","22","3.125","27.3","13.6","22.7","9.1","18.2",".",".",".",".",".",".",".",".","4.5","4.5","."
"Graduate","","317","3.562","47.3","7.9","12.6","0.3","1.9",".",".","16.7",".",".",".","12.9","0.3",".",".","."
"Prof Yr 2","","4","***","","","","","","","","","",".",".","25.0",".",".",".","."
"Prof Yr 4","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".",".","."
"Professionals","","10","4.000","70.0",".",".",".",".",".",".",".",".",".",".","30.0",".",".",".","."
"","Dept. Total","1544","3.277","42.2","13.3","18.1","5.8","11.5","1.6","0.2","3.4",".",".",".","3.4","0.1","0.1","0.2","0.1"
