"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","275
001","17","3.500","17.6","64.7","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","18","3.667","44.4","50.0",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","35","3.586","31.4","57.1","8.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese I","374
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","397
001","17","3.059","5.9","52.9","23.5","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","397
002","22","3.295","13.6","45.5","27.3","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","397
003","20","3.400","15.0","55.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","19","3.000","15.8","36.8","26.3","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"","397
005","21","3.400","23.8","38.1","28.6",".","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"","397
006","23","2.932","4.3","13.0","56.5","8.7","13.0",".",".",".",".",".",".",".","4.3",".",".","."
"","397
007","23","3.457","17.4","56.5","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","20","3.425","15.0","60.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","22","3.523","22.7","59.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","21","3.119","23.8","19.0","33.3","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","397
011","22","3.432","13.6","63.6","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","20","3.300","15.0","40.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","16","3.344","18.8","43.8","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
016","21","3.405","19.0","52.4","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
017","16","3.500","18.8","62.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
018","19","3.474","31.6","42.1","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","322","3.317","17.1","46.0","26.7","5.9","2.5","0.6","0.6",".",".",".",".",".","0.6",".",".","."
"Engr Applicatns of Statistics","416
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Engr & Quality Mgmnt","518
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese for Bus & Industry","601
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","603
003","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Rsch-Japanese Technical Lit","604
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","29","3.707","55.2","31.0","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","612
001","33","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","613
001","24","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Design II","623
001","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Powertrain Systems & Controls","629
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Systems Engineering","642
001","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Core Comp of Sustainability","660
001","16","3.767","56.3","31.3","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Sustainable Systems Capstone","669
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
004","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
011","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
012","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
014","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","71","3.989","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
