"Summary by Level","#","","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","19","3.924","84.2","15.8",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","31","3.933","93.5","3.2","3.2","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","56","3.936","91.1","7.1","1.8","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","26","3.241","19.2","11.5","7.7","",".","3.8","",".","",".","57.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
