"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","125","2.773","19.2","9.6","20.8","12.0","32.0","1.6","1.6","3.2",".",".",".",".",".",".",".","."
"","100","002","120","2.613","13.3","7.5","24.2","11.7","37.5","5.0","0.8",".",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","245","2.693","16.3","8.6","22.4","11.8","34.7","3.3","1.2","1.6",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","102","001","119","3.093","31.9","11.8","31.9","3.4","16.0","1.7","2.5","0.8",".",".",".",".",".",".",".","."
"","104","001","236","3.771","75.8","12.7","5.1","3.0","1.7",".","0.8",".",".",".",".",".","0.4",".","0.4","."
"","104","002","198","3.789","76.8","14.6","5.1",".","1.0","1.5","0.5",".",".",".",".",".",".",".","0.5","."
"","104","003","151","3.858","82.8","12.6","2.0","1.3","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"","104","004","196","3.804","75.5","17.3","3.1","1.0","1.0",".","1.0",".",".",".",".",".",".",".","0.5","0.5"
"Cult Anthro&Human Diversity","","Course Total","781","3.801","77.3","14.3","4.0","1.4","1.2","0.4","0.8",".",".",".",".",".","0.1",".","0.4","0.1"
"Principles - Biological Anthro","105","001","233","3.258","30.0","28.8","19.7","10.7","4.7","3.9","0.4",".",".",".",".",".","0.4",".",".","1.3"
"Fr/Soph Seminar in Anthro","120","002","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","212","001","64","3.189","45.3","6.3","18.8","4.7","15.6","1.6","3.1",".",".",".",".",".",".",".","4.7","."
"Intro to Social Medicine","231","001","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","35","3.714","77.1","17.1",".",".",".","2.9","2.9",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","7","2.857","28.6","14.3","28.6","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310","001","34","3.594","47.1","29.4","8.8","5.9","2.9",".",".","5.9",".",".",".",".",".",".",".","."
"","310","002","12","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","310","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Archaeology","","Course Total","47","3.641","51.1","25.5","8.5","4.3","2.1",".",".","8.5",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321","001","43","2.833","41.9","4.7","9.3","9.3","16.3","9.3","7.0","2.3",".",".",".",".",".",".",".","."
"Anthropology of Religion","343","001","22","3.754","77.3","13.6",".",".",".",".","4.5","4.5",".",".",".",".",".",".",".","."
"Political Anthropology","350","001","21","3.700","52.4","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","4.8"
"Archaeology of Wisconsin","354","001","24","3.326","37.5","25.0","20.8","4.2","4.2",".","4.2","4.2",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","15","3.100","26.7","20.0","40.0",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Historical Anthropology","424","001","9","3.875","77.8",".","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Stdy Abroad:Topics-Archaeol","453","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnobotany","474","001","11","3.700","45.5","36.4","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","490","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","002","14","3.750","71.4","21.4",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","490","003","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","30","3.850","80.0","16.7",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","13","3.333","15.4","46.2","15.4","15.4",".",".",".",".",".",".",".",".",".","7.7",".","."
"Biology of Mind","619","001","21","3.368","38.1",".","47.6",".","4.8",".",".","9.5",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
