"L&S","","","","","","","","","","","","","","","","","","","","",""
"MEDIEVAL STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","",""
"Late Antiquity (200-900 C.E.)","112","001","","20","3.700","60.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"In Transl:Scand Tale&Ballad","345","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Old Norse","407","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topic in Medieval Literature","423","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Old English","520","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Old Spanish","541","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MEDIEVAL
633","","Dept. Total","","25","3.637","52.0","28.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
