"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"525
Introduction to Plasmas","001","","10","2.550","10.0","10.0","50.0",".","10.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"545
Intro to Atomic Structure","001","","9","3.438","11.1","55.6","22.2",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"551
Solid State Physics","001","","10","3.333","20.0","20.0","50.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"619
Microscopy of Life","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"623
Electronic Aids to Measmnt","001","","18","3.500","38.9","22.2","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Applied Optics","001","","18","3.694","55.6","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"681","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"691
Senior Thesis","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701
Introductory Seminars","001","","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"711
Theoreticl Physics-Dynamics","001","","30","3.483","30.0","33.3","33.3",".",".",".",".",".",".",".",".",".",".","3.3",".","."
"721
Theor Physics-Electrodynmcs","001","","21","3.167","19.0","28.6","28.6","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Quantum Mechanics","001","","31","3.500","22.6","48.4","22.6",".",".",".",".",".",".",".",".",".","6.5",".",".","."
"735
Particle Physics","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"772
High Energy Astrophysics","001","","30","3.517","26.7","46.7","23.3",".",".",".",".",".",".",".",".",".",".",".","3.3","."
"799
Independent Study","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","002","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","003","","8","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"801","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Theoretical Physics","Course Total","","33","3.968","90.9",".","3.0",".",".",".",".",".",".",".",".",".",".","6.1",".","."
"805
Special Topics in Physics","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"831
Advanced Quantum Mechanics","001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922
Seminar in Plasma Physics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","042","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
