"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"699","015","","23","4.000","91.3",".",".",".",".",".",".",".",".",".",".",".","4.3",".","4.3","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","103","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","107","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol 699: Directed Research","Course Total","","50","3.973","94.0",".","2.0",".",".",".",".",".",".",".",".",".","2.0",".","2.0","."
"812
Neuroscience Core Clerkship","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
