"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","",""
"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","120","3.563","48.3","26.7","15.0","6.7","2.5",".",".",".",".",".",".",".","0.8",".",".","."
"Production Planning&Control","315","001","71","3.707","62.0","26.8","5.6","2.8",".",".","1.4","1.4",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","64","3.695","51.6","40.6","4.7","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"","321","001","24","3.875","95.8",".",".",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","321","002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","64","3.945","96.9","1.6",".",".",".","1.6",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","66","3.106","31.8","10.6","34.8","4.5","12.1","6.1",".",".",".",".",".",".",".",".",".","."
"","348","001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","002","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","003","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","004","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","","Course Total","67","3.940","89.6","9.0","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","94","3.855","79.8","11.7","6.4",".","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"Junior Design Laboratory","350","001","83","3.940","89.2","9.6","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Data Analytics","412","001","59","3.636","55.9","25.4","11.9","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","78","3.756","67.9","23.1","7.7",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","78","3.910","91.0","7.7",".",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425","001","20","3.050","25.0","10.0","45.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Senior Design Project","450","001","50","3.850","78.0","14.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","15","3.433","40.0","20.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","61","3.692","55.7","26.2","14.8","1.6",".",".",".",".",".",".",".",".","1.6",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","61","3.943","90.2","8.2","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","23","3.630","43.5","43.5","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","18","3.111","44.4","11.1","16.7",".","16.7","11.1",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering","549","001","31","3.855","93.5","3.2",".",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"","601","002","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","004","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","006","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","36","3.764","58.3","36.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Safety & Quality-Med Use Sys","608","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","10","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","632","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","632","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","632","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","8","2.857","25.0","25.0","12.5",".","12.5",".","12.5",".",".",".",".",".",".",".",".","12.5"
"Engineering Supply Chains","645","001","23","3.690","52.2","30.4",".","8.7",".",".",".","8.7",".",".",".",".",".",".",".","."
"","699","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","3","***","","","","","","","","","",".",".",".",".",".",".","."
