"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Legacy of Greece & Rome","100
001","24","3.727","54.2","29.2","4.2","4.2",".",".",".","8.3",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110
001","18","3.306","16.7","38.9","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Ancient Monsters","150
001","88","3.345","15.9","50.0","23.9","4.5","4.5",".",".",".",".",".",".",".",".","1.1",".","."
"Intro to Biblical Lit","227
001","42","3.645","64.3","14.3","2.4","2.4","4.8",".","2.4",".",".",".",".",".",".","9.5",".","."
"Intro-Biblical Archaeology","241
001","11","3.500","9.1","36.4","9.1",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"Art&Archaeology-Ancient Greece","300
001","25","3.354","52.0","16.0",".","12.0","12.0","4.0",".","4.0",".",".",".",".",".",".",".","."
"The Greeks","320
001","127","3.817","73.2","18.9","1.6","2.4",".",".","0.8",".",".",".",".",".",".","3.1",".","."
"Sex and Power","361
001","50","3.388","32.0","40.0","10.0","12.0",".","4.0",".",".",".",".",".",".",".",".","2.0","."
"","373
001","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","373
002","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","373
003","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Classical Culture","Course Total","36","3.886","83.3","5.6","8.3",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"Biblical Archaeology","452
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","5","***","","","","","","","","","","","","","","","",""
"Art&Archaeolog-Ancient Greece","700
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","900
001","10","3.400","50.0","20.0","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"CLASSICS
244","Dept. Total","439","3.587","50.3","27.3","9.6","4.1","2.7","0.7","0.7","1.8",".",".",".","0.2","0.2","2.1","0.2","."
