"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","373","3.941","90.9","7.2","1.3",".","",".","0.3","",".","0.3","",".",".","",".","",".","",".",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","69","3.962","92.8","4.3","2.9",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","109","3.955","90.8","8.3","0.9",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","76","3.940","90.8","9.2",".",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","106","3.942","93.4","5.7",".",".","",".","0.9","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","360","3.949","91.9","6.9","0.8",".","",".","0.3","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","10","3.643","50.0","20.0","20.0",".","",".",".","",".","10.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","4","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","College Total","374","3.941","90.9","7.2","1.3",".","",".","0.3","",".","0.3","",".",".","",".","",".","",".",".",".","."
