"ALS","","","","","","","","","","","","","","","","","","","","","",""
"ENTOMOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","","","",""
"ENTOM
355","Dept. Total","379","3.629","61.2","17.9","6.1","3.7","3.4","1.1","0.5","2.9","",".",".","",".","2.6","",".",".","0.3","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.598","76.5",".","11.8","5.9","5.9",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","60","3.640","51.7","36.7","5.0","5.0","1.7",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","115","3.641","67.0","16.5","7.0","3.5","3.5","1.7","0.9",".","",".",".","",".",".","",".",".",".","."
"Senior","","135","3.580","63.7","17.0","6.7","4.4","4.4","1.5","0.7",".","",".",".","",".",".","",".",".","0.7","0.7"
"Undergraduates","","327","3.613","63.3","19.6","6.7","4.3","3.7","1.2","0.6",".","",".",".","",".",".","",".",".","0.3","0.3"
"Special","","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","50","3.890","50.0","6.0","2.0",".","2.0",".",".","20.0","",".",".","",".","20.0","",".",".",".","."
"","Dept. Total","379","3.629","61.2","17.9","6.1","3.7","3.4","1.1","0.5","2.9","",".",".","",".","2.6","",".",".","0.3","0.3"
