"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"","138
001","14","3.571","85.7",".",".",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","138
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
003","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
004","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
005","14","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","138
006","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
007","17","3.824","76.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","138
008","17","3.765","76.5","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","138
009","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
010","17","3.882","88.2","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","138
011","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
012","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
013","14","3.679","78.6","7.1",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","138
014","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
015","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
016","8","3.438","62.5",".","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","138
017","7","3.643","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","138
018","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"CRC 1st Yr Smr: Lib Arts Educ","Course Total","227","3.817","81.5","10.6","2.6","2.2","2.6",".","0.4",".",".",".",".",".",".",".",".","."
"","157
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
002","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
003","12","",".",".",".",".",".",".",".",".",".","91.7",".",".",".",".",".","8.3"
"","157
004","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
005","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
006","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
007","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
008","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
009","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
010","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
011","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
012","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","157
014","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","157
016","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
017","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Bradley Roundtable Seminar","Course Total","171","",".",".",".",".",".",".",".",".",".","99.4",".",".",".",".",".","0.6"
"Critical Thinkng & Expressn","200
001","75","3.607","61.3","28.0","4.0",".","2.7",".","4.0",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Philos I","201
001","143","3.613","52.4","25.2","9.1","5.6","3.5",".",".","1.4",".",".",".",".","0.7",".",".","2.1"
"West Culture:Lit&The Arts I","203
001","115","3.283","29.6","28.7","20.9","9.6","7.8","1.7",".",".",".",".",".",".",".",".","1.7","."
"W Cult:Pol,Econ&Soc Thght I","205
001","105","3.404","21.9","46.7","22.9","6.7",".","1.0",".",".",".",".",".",".",".",".",".","1.0"
"Genres-Westrn Relig Writing","234
001","8","3.313","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Society","253
001","41","3.585","65.9","22.0","2.4","2.4",".","4.9","2.4",".",".",".",".",".",".",".",".","."
"Literature and Science","254
001","24","3.563","41.7","33.3","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
