"Interdis Artist in Res Lecture","312
001","","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Intro Arts Entrepreneurship","320
001","","9","3.000","33.3","22.2","11.1",".","","11.1","",".","11.1",".","",".","",".",".","",".","","11.1",".",".","."
"Interdis Artist in Res Lecture","612
001","","3","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"INTEGART
495","Dept. Total","","61","3.673","82.0","11.5","1.6","",".","1.6","",".","1.6","",".","",".",".","",".","",".","1.6",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"495
INTEGART","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","33","3.955","90.9","9.1",".","",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","14","3.781","85.7","7.1","7.1","",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","8","2.853","50.0","12.5",".","",".","12.5","",".","12.5","",".","",".",".","",".","",".","12.5",".",".","."
"Senior","","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","","","56","3.645","83.9","8.9","1.8","",".","1.8","",".","1.8","",".","",".",".","",".","",".","1.8",".",".","."
"Graduate","","","5","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","","61","3.673","82.0","11.5","1.6","",".","1.6","",".","1.6","",".","",".",".","",".","",".","1.6",".",".","."
