"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"299","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Intro to Sci & Technol of Food","001","","30","2.950","13.3","26.7","23.3","23.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"324","003","","13","3.346","23.1","30.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"324","004","","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","","29","3.483","31.0","37.9","27.6","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"325
Food Microbiology","001","","35","3.243","25.7","25.7","34.3","5.7","5.7","2.9",".",".",".",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"410
Food Chemistry","001","","51","3.059","11.8","23.5","37.3","19.6","7.8",".",".",".",".",".",".",".",".",".",".","."
"437
Food Service Operations","001","","38","3.365","7.9","57.9","28.9","2.6",".",".",".",".",".",".",".",".","2.6",".",".","."
"438","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"438","002","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Principles of Food Engr","001","","36","3.236","41.7","19.4","19.4",".","11.1","8.3",".",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"532
Integrated Food Manufacturing","001","","36","3.071","22.2","5.6","44.4","13.9","11.1",".",".",".",".",".",".",".","2.8",".",".","."
"535
Confectionery Science&Technlgy","001","","17","3.294","29.4","35.3","17.6",".","17.6",".",".",".",".",".",".",".",".",".",".","."
"552
Food Fermentation Laboratory","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"602
Senior Project","001","","27","3.596","40.7","33.3","22.2",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"699
Special Problems","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","005","","12","3.750","41.7","50.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"900
Seminar Advanced","001","","35","3.875","8.6","2.9",".",".",".",".",".","88.6",".",".",".",".",".",".",".","."
"990","009","","12","",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","12","",".",".",".",".",".",".",".","91.7",".",".",".",".",".",".","8.3","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","41","",".",".",".",".",".",".",".","70.7","2.4",".",".","24.4",".",".","2.4","."
