"","999
006","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
008","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
013","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Independent Work","Course Total","5","***","","","","","","","","","","","","","","","","","","","",""
"HIST SCI
456","Dept. Total","258","3.609","42.6","30.2","11.6","3.1","1.2","0.4","",".","6.2","",".",".","",".","0.4","",".","0.4","3.9","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","73","3.486","37.0","34.2","23.3","2.7","1.4","1.4","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","63","3.651","50.8","33.3","12.7","1.6","1.6",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","47","3.649","48.9","40.4","4.3","4.3","2.1",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","32","3.672","53.1","25.0","3.1","9.4",".",".","",".","3.1","",".",".","",".",".","",".",".","6.3","."
"Undergraduates","","215","3.597","46.0","34.0","13.0","3.7","1.4","0.5","",".","0.5","",".",".","",".",".","",".",".","0.9","."
"Special","","18","3.500","5.6","5.6","5.6",".",".",".","",".","44.4","",".",".","",".",".","",".","5.6","33.3","."
"Graduate","","25","3.800","40.0","16.0","4.0",".",".",".","",".","28.0","",".",".","",".","4.0","",".",".","8.0","."
"","Dept. Total","258","3.609","42.6","30.2","11.6","3.1","1.2","0.4","",".","6.2","",".",".","",".","0.4","",".","0.4","3.9","."
